path,corpus,confidence,size_bytes,estimated_file_count,notes
.git,unknown,1.00,8864254564,35255,dominant corpus by size
packages,ui_assets,1.00,2674836332,27746,dominant corpus by size
docs,unknown,0.89,1962467070,68399,dominant corpus by size
ios,app_bundles,0.68,1686148031,12463,dominant corpus by size
rhea-cli,unknown,0.94,1583241323,5959,dominant corpus by size
rhea-session-server,unknown,0.93,1229507494,5024,dominant corpus by size
rhea-dash,ui_assets,0.97,1222916191,3470,dominant corpus by size
frontier-gem,unknown,0.97,1009292913,4392,dominant corpus by size
Play.bndb,reverse,1.00,853401600,1,dominant corpus by size
rhea-atlas,app_bundles,0.55,799790747,27987,mixed corpus
.venv,unknown,0.96,725432685,33400,dominant corpus by size
vendor,app_bundles,0.78,599460161,1008,dominant corpus by size
src,unknown,0.95,300958027,15680,dominant corpus by size
.entire,unknown,0.52,282573010,752,mixed corpus
rhea-tui,unknown,0.90,186296559,773,dominant corpus by size
.rhea,unknown,1.00,178556598,25,dominant corpus by size
mirror,firebase_data,1.00,161488814,483,dominant corpus by size
rhea-angel-game,unknown,0.89,157670812,723,dominant corpus by size
rhea-ai-auth,unknown,0.89,157620487,722,dominant corpus by size
rhea-biorenderer,unknown,0.91,146453895,638,dominant corpus by size
rhea-rag,unknown,0.91,146186137,633,dominant corpus by size
friends,unknown,0.98,145966392,2949,dominant corpus by size
build,unknown,0.94,129347837,65,dominant corpus by size
rhea-dashboard,ui_assets,0.87,93673138,4094,dominant corpus by size
opera,unknown,0.96,34314060,8120,dominant corpus by size
RheklGemini.webarchive,unknown,1.00,27208615,1,dominant corpus by size
archive,unknown,1.00,17330878,56,dominant corpus by size
.roo,unknown,1.00,13792701,3022,dominant corpus by size
logs,unknown,1.00,13382848,24,dominant corpus by size
data,unknown,1.00,13066929,19,dominant corpus by size
diagnostics,unknown,1.00,12046448,41,dominant corpus by size
dist,unknown,1.00,11960178,6,dominant corpus by size
"2 помоги мне доказать, что sqlite устарела и _это самая устойчивая идея_ это манипуляция, а не аргумент - Google Search.mhtml",unknown,1.00,11825262,1,dominant corpus by size
f(prompt) Token Mapping.pdf,unknown,1.00,11785911,1,dominant corpus by size
fulltree.md,unknown,1.00,10697821,1,dominant corpus by size
assets,ui_assets,0.70,8855441,14,dominant corpus by size
rheknel_files,ui_assets,1.00,7794061,30,dominant corpus by size
RheaCommandCentre.dmg,unknown,1.00,5836600,1,dominant corpus by size
scripts,unknown,0.94,5446654,425,dominant corpus by size
.firecrawl,unknown,0.96,4788628,213,dominant corpus by size
rheknel.mhtml,unknown,1.00,4736943,1,dominant corpus by size
rheknel.htm,unknown,1.00,4273345,1,dominant corpus by size
firebase-debug.log,firebase_data,1.00,3888677,1,dominant corpus by size
brain-capsule-20260228T211513Z-smoke-20260228t211513z.tar.gz,unknown,1.00,3267892,1,dominant corpus by size
rhea-atlas-out,app_bundles,1.00,2285369,80,dominant corpus by size
RHEKNELGPT54full.pdf,unknown,1.00,2007996,1,dominant corpus by size
readme0.pdf,unknown,1.00,754547,1,dominant corpus by size
tools,unknown,1.00,570712,15,dominant corpus by size
play_frame_00.png,unknown,1.00,287252,1,dominant corpus by size
ops,sessions,0.98,251532,10,dominant corpus by size
themis-demo-seeded.png,unknown,1.00,181847,1,dominant corpus by size
frontier-tui,firebase_data,1.00,157365,3,dominant corpus by size
frontend,ui_assets,1.00,148908,10,dominant corpus by size
tooltip-rag-hover.png,unknown,1.00,139433,1,dominant corpus by size
config,unknown,0.99,139174,17,dominant corpus by size
tests,unknown,1.00,114739,10,dominant corpus by size
deploy,unknown,0.79,100388,18,dominant corpus by size
rheknelgemini.pdf,unknown,1.00,93535,1,dominant corpus by size
rhea-client,ui_assets,1.00,87206,4,dominant corpus by size
.github,configs,0.91,86499,19,dominant corpus by size
.DS_Store,unknown,1.00,63492,1,dominant corpus by size
:memory:,unknown,1.00,61440,3,dominant corpus by size
contracts,unknown,1.00,55012,12,dominant corpus by size
apparatus,unknown,1.00,44124,10,dominant corpus by size
_inventory,unknown,0.87,42704,7,dominant corpus by size
.claude,unknown,0.82,39369,16,dominant corpus by size
play,unknown,0.97,35530,6,dominant corpus by size
demo_math.html,unknown,1.00,34637,1,dominant corpus by size
.roomodes,configs,1.00,32678,1,dominant corpus by size
play-token-mapper,play_docs,1.00,32544,3,dominant corpus by size
prompts,unknown,1.00,26906,5,dominant corpus by size
themis-demo-tooltip.png,unknown,1.00,25858,1,dominant corpus by size
semantic-drift.html,unknown,1.00,24133,1,dominant corpus by size
artifacts,configs,0.55,21144,4,mixed corpus
rhea-ontology-explorer,configs,0.99,20756,2,dominant corpus by size
contexts_map_mindflow_map_play.toml,configs,1.00,13176,1,dominant corpus by size
.next,unknown,0.99,12866,11,dominant corpus by size
RHEKNELGPT54cp.md,unknown,1.00,11306,1,dominant corpus by size
protocols,unknown,1.00,11131,1,dominant corpus by size
FINAL_DELIVERY.md,unknown,1.00,7782,1,dominant corpus by size
README.md,unknown,1.00,7253,1,dominant corpus by size
glowing-sphere.html,unknown,1.00,7045,1,dominant corpus by size
TEAM_STATUS.md,unknown,1.00,6423,1,dominant corpus by size
QUICKSTART.md,unknown,1.00,6269,1,dominant corpus by size
CHECK.md,unknown,1.00,6175,1,dominant corpus by size
emergentia,unknown,1.00,6148,1,dominant corpus by size
plugins,unknown,1.00,6148,1,dominant corpus by size
.firebase,firebase_data,1.00,6139,1,dominant corpus by size
test_integration.sh,unknown,1.00,5301,1,dominant corpus by size
SESSION_SUMMARY_STAGE5.md,unknown,1.00,5232,1,dominant corpus by size
eval,configs,0.66,5117,4,dominant corpus by size
STAGE5_RELEASE.md,unknown,1.00,4763,1,dominant corpus by size
arhive_history_Rhea.html,unknown,1.00,4671,1,dominant corpus by size
TASKS.log,unknown,1.00,4489,1,dominant corpus by size
demo_atlas.html,unknown,1.00,4379,1,dominant corpus by size
PLAY_MAINTENANCE_GUIDE.md,unknown,1.00,4370,1,dominant corpus by size
.codex,unknown,1.00,4217,1,dominant corpus by size
rhea,unknown,1.00,4216,1,dominant corpus by size
extensions,unknown,0.90,3958,3,dominant corpus by size
11march-full-audit-p0leftovers.md,unknown,1.00,3869,1,dominant corpus by size
.tmp_music,unknown,1.00,3678,2,dominant corpus by size
PRODUCTION_STATUS.md,unknown,1.00,3604,1,dominant corpus by size
verify-stage5.sh,unknown,1.00,3364,1,dominant corpus by size
readme0.md,unknown,1.00,3347,1,dominant corpus by size
.playwright-mcp,unknown,1.00,3153,7,dominant corpus by size
CLAUDE.md,unknown,1.00,3150,1,dominant corpus by size
INTERAGENT_COMM_GUIDE.md,unknown,1.00,2981,1,dominant corpus by size
MULTITEAMLOOP_PLAN.md,unknown,1.00,2961,1,dominant corpus by size
build_stage5.log,unknown,1.00,2910,1,dominant corpus by size
mirror_assets.py,unknown,1.00,2852,1,dominant corpus by size
find_jscore_bootstrap.py,unknown,1.00,2741,1,dominant corpus by size
SESSION_STATE.md,unknown,1.00,2632,1,dominant corpus by size
NOTICE,unknown,1.00,2451,1,dominant corpus by size
.windsurf,unknown,1.00,2254,1,dominant corpus by size
docker-compose.yml,configs,1.00,2065,1,dominant corpus by size
find_selrefs.py,unknown,1.00,1985,1,dominant corpus by size
REDIS_SCHEMA.md,unknown,1.00,1895,1,dominant corpus by size
RHEKNELGPT54sems.md,unknown,1.00,1878,1,dominant corpus by size
.gitignore,unknown,1.00,1713,1,dominant corpus by size
.env.example,unknown,1.00,1679,1,dominant corpus by size
inspect_0.py,unknown,1.00,1336,1,dominant corpus by size
Dockerfile,unknown,1.00,1243,1,dominant corpus by size
LICENSE,unknown,1.00,1069,1,dominant corpus by size
.dockerignore,unknown,1.00,965,1,dominant corpus by size
TODO.md,unknown,1.00,964,1,dominant corpus by size
test_cli.sh,unknown,1.00,892,1,dominant corpus by size
rheklGemini2.pdf,unknown,1.00,881,1,dominant corpus by size
.env,configs,1.00,865,1,dominant corpus by size
.secrets,configs,1.00,791,3,dominant corpus by size
cc,unknown,1.00,739,1,dominant corpus by size
.windsurfignore,unknown,1.00,559,1,dominant corpus by size
metrics,configs,1.00,549,1,dominant corpus by size
fly.toml,configs,1.00,508,1,dominant corpus by size
package.json,configs,1.00,363,1,dominant corpus by size
.gcloudignore,unknown,1.00,338,1,dominant corpus by size
rhea-logical-keyboard,configs,1.00,328,1,dominant corpus by size
LATEST.json,configs,1.00,303,1,dominant corpus by size
requirements.txt,unknown,1.00,299,1,dominant corpus by size
.vscode,configs,1.00,260,1,dominant corpus by size
tsconfig.json,configs,1.00,252,1,dominant corpus by size
firestore.rules,firebase_data,1.00,178,1,dominant corpus by size
brain-capsule-20260228T211513Z-smoke-20260228t211513z.tar.gz.sha256,unknown,1.00,127,1,dominant corpus by size
.obsidian,configs,1.00,125,2,dominant corpus by size
firebase.json,firebase_data,1.00,122,1,dominant corpus by size
.watcher,unknown,1.00,117,2,dominant corpus by size
.gitmodules,unknown,1.00,93,1,dominant corpus by size
.pids,unknown,1.00,18,3,dominant corpus by size
frontier.sock,unknown,0.00,0,1,mixed corpus
observer.log,unknown,0.00,0,1,mixed corpus
session_store.db,unknown,0.00,0,1,mixed corpus
