path,type,reason,preserve_priority,confidence
/Users/sa/rh.1/packages,swift_packages,Swift packages directory,high,0.9
/Users/sa/rh.1/packages/RheaKit,swift_ui_kit,RheaKit Swift UI package,high,0.9
/Users/sa/rh.1/rhea-cli,rust_cli,Rhea CLI Rust application,high,0.9
/Users/sa/rh.1/rhea-session-server,rust_server,Rust session server,high,0.9
/Users/sa/rh.1/rhea-dash,rust_dashboard,Rust dashboard application,high,0.9
/Users/sa/rh.1/frontier-gem,rust_gem,Frontier gem Rust application,high,0.8
/Users/sa/rh.1/rhea-atlas,nextjs_app,Atlas Next.js application,high,0.8
/Users/sa/rh.1/rhea-tui,rust_tui,Rust terminal UI application,medium,0.8
/Users/sa/rh.1/rhea-angel-game,rust_game,Rust angel game application,medium,0.8
/Users/sa/rh.1/rhea-biorenderer,rust_renderer,Rust biorenderer application,medium,0.8
/Users/sa/rh.1/rhea-logical-keyboard,rust_keyboard,Rust logical keyboard application,medium,0.8
/Users/sa/rh.1/rhea-ontology-explorer,rust_ontology,Rust ontology explorer application,medium,0.8
/Users/sa/rh.1/rhea-rag,rust_rag,Rust RAG application,medium,0.8
/Users/sa/rh.1/rhea-client,rust_client,Rust client application,medium,0.8
/Users/sa/rh.1/rhea-ai-auth,rust_auth,Rust AI auth application,medium,0.8
/Users/sa/rh.1/ios,ios_app,iOS application directory,high,0.9
/Users/sa/rh.1/ios/RheaApp,ios_main_app,iOS main application,high,0.9
/Users/sa/rh.1/ios/Frameworks,ios_frameworks,iOS frameworks directory,medium,0.8
/Users/sa/rh.1/ios/RheaApp/Frameworks,ios_app_frameworks,iOS app frameworks,medium,0.8
/Users/sa/rh.1/src,source_code,Source code directory,high,0.8
/Users/sa/rh.1/tools,tools_directory,Development tools directory,medium,0.8
/Users/sa/rh.1/tools/rhea-cc,cc_tool,Rhea CC tool,medium,0.8
/Users/sa/rh.1/scripts,scripts_directory,Scripts directory,medium,0.8
/Users/sa/rh.1/find_jscore_bootstrap.py,bootstrap_script,Bootstrap finder script,medium,0.7
/Users/sa/rh.1/find_selrefs.py,selrefs_script,Selector references finder script,medium,0.7
/Users/sa/rh.1/mirror_assets.py,mirror_script,Asset mirroring script,medium,0.7
/Users/sa/rh.1/inspect_0.py,inspect_script,Inspection script,medium,0.7
/Users/sa/rh.1/test_cli.sh,cli_test_script,CLI test script,medium,0.7
/Users/sa/rh.1/test_integration.sh,integration_test_script,Integration test script,medium,0.7
/Users/sa/rh.1/verify-stage5.sh,stage5_verify_script,Stage 5 verification script,medium,0.7
/Users/sa/rh.1/rhea,rhea_binary,Rhea main binary,high,0.9
/Users/sa/rh.1/cc,cc_binary,CC binary,medium,0.7
/Users/sa/rh.1/frontier-gem/gem-extension,browser_extension,Gem browser extension,medium,0.8
/Users/sa/rh.1/frontier-gem/gem-extension/background.js,extension_background,Extension background script,medium,0.8
/Users/sa/rh.1/frontier-tui,frontier_tui,Frontier TUI application,medium,0.8
/Users/sa/rh.1/friends/codex-cli,codex_cli,Codex CLI tool,medium,0.8
/Users/sa/rh.1/friends/codex-cli/codex-rs,codex_rust,Codex Rust implementation,medium,0.8
/Users/sa/rh.1/friends/codex-cli/codex-rs/lmstudio,lmstudio_client,LM Studio client,medium,0.8
/Users/sa/rh.1/friends/codex-cli/codex-rs/rmcp-client,rmcp_client,RMCP client,medium,0.8
/Users/sa/rh.1/friends/codex-cli/codex-rs/keyring-store,keyring_store,Keyring store,medium,0.8
/Users/sa/rh.1/friends/codex-cli/codex-rs/ansi-escape,ansi_escape,ANSI escape library,medium,0.8
/Users/sa/rh.1/friends/codex-cli/codex-rs/network-proxy,network_proxy,Network proxy,medium,0.8
/Users/sa/rh.1/vendor,vendor_libs,Third-party libraries,medium,0.8
/Users/sa/rh.1/vendor/libtailscale,tailscale_lib,Tailscale library,medium,0.8
/Users/sa/rh.1/vendor/libtailscale/swift,tailscale_swift,Tailscale Swift implementation,medium,0.8
/Users/sa/rh.1/vendor/libtailscale/swift/build,tailscale_build,Tailscale build artifacts,low,0.6
