path,size_bytes,estimated_file_count
.git,8864254564,35255
.git/objects,8839612577,35096
.git/objects/pack,6014466316,20
packages,2674836332,27746
packages/RheaKit,2674541280,27690
packages/RheaKit/.build,2673451975,27644
docs,1962467070,68399
ios,1686148031,12463
packages/RheaKit/.build/index-build,1650971690,14254
docs/restore,1597877321,4153
rhea-cli,1583241323,5959
rhea-cli/target,1583123631,5950
rhea-session-server,1229507494,5024
rhea-session-server/target,1229410968,5017
rhea-dash,1222916191,3470
rhea-dash/target,1222748766,3466
rhea-dash/target/debug,1222740768,3463
docs/restore/1,1194611582,3024
docs/restore/1/docscreatewithplaycomenarticlesgetting-started-14470916151957,1194578798,3020
docs/restore/1/docscreatewithplaycomenarticlesgetting-started-14470916151957/en,1194572650,3019
docs/restore/1/docscreatewithplaycomenarticlesgetting-started-14470916151957/en/articles,1194566502,3018
ios/RheaApp,1149476521,8360
ios/RheaApp/build,1149337716,8333
packages/RheaKit/.build/index-build/arm64-apple-macosx,1094727228,9080
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug,1094727228,9080
rhea-dash/target/debug/deps,1078765752,1738
ios/RheaApp/build/DerivedData,1044694139,8286
frontier-gem,1009292913,4392
frontier-gem/target,990259117,4373
frontier-gem/target/debug,990251119,4370
.,940731097,78
rhea-cli/target/debug,927605565,3221
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache,863382463,1043
frontier-gem/target/debug/deps,826249524,2033
rhea-cli/target/debug/deps,816367236,1542
rhea-atlas,799790747,27987
.venv,725432685,33400
.venv/lib,725287604,33350
.venv/lib/python3.11,725287604,33350
.venv/lib/python3.11/site-packages,725287604,33350
rhea-session-server/target/debug,667416435,2652
rhea-cli/target/release,655510068,2726
rhea-cli/target/release/deps,600695429,929
vendor,599460161,1008
vendor/libtailscale,599460161,1008
rhea-atlas/node_modules,591599108,27585
rhea-session-server/target/debug/deps,588042342,1238
rhea-session-server/target/release,561986535,2362
ios/RheaApp/build/DerivedData/SourcePackages,555513347,5204
rhea-session-server/target/release/deps,515445899,798
vendor/libtailscale/swift,466436076,925
vendor/libtailscale/swift/build,466245505,875
packages/RheaKit/.build/arm64-apple-macosx,465352985,8312
packages/RheaKit/.build/arm64-apple-macosx/debug,465346837,8311
docs/restore/2,403259591,1128
ios/RheaApp/build/DerivedData/SourcePackages/repositories,363991052,231
packages/RheaKit/.build/index-build/repositories,363717355,280
packages/RheaKit/.build/repositories,363494260,184
vendor/libtailscale/swift/build/Build,339056321,543
src,300958027,15680
packages/RheaKit/.build/arm64-apple-macosx/debug/ModuleCache,300641739,369
ios/RheaPreview.swiftpm,300043882,3615
ios/RheaPreview.swiftpm/.build,299931758,3601
src/.venv,297830064,15566
src/.venv/lib,297701516,15528
src/.venv/lib/python3.11,297695368,15527
src/.venv/lib/python3.11/site-packages,297689220,15526
.entire,282573010,752
ios/RheaApp/build/DerivedData/ModuleCache.noindex,279959293,970
ios/RheaApp/build/DerivedData/SourcePackages/repositories/GRDB.swift-dd0599db,240454141,23
packages/RheaKit/.build/index-build/repositories/GRDB.swift-dd0599db,240454141,23
packages/RheaKit/.build/repositories/GRDB.swift-dd0599db,240412560,23
ios/RheaApp/build/DerivedData/SourcePackages/repositories/GRDB.swift-dd0599db/objects,240262959,3
ios/RheaApp/build/DerivedData/SourcePackages/repositories/GRDB.swift-dd0599db/objects/pack,240262959,3
packages/RheaKit/.build/index-build/repositories/GRDB.swift-dd0599db/objects,240262959,3
packages/RheaKit/.build/index-build/repositories/GRDB.swift-dd0599db/objects/pack,240262959,3
packages/RheaKit/.build/repositories/GRDB.swift-dd0599db/objects,240221432,3
packages/RheaKit/.build/repositories/GRDB.swift-dd0599db/objects/pack,240221432,3
docs/system-docs,225689563,34617
docs/system-docs/node_modules,225683415,34616
ios/RheaApp/build/DerivedData/Build,207493422,2089
ios/RheaApp/build/DerivedData/Build/Intermediates.noindex,207493422,2089
rhea-atlas/.next,203712764,223
ios/RheaPreview.swiftpm/.build/arm64-apple-macosx,199909301,3327
ios/RheaPreview.swiftpm/.build/arm64-apple-macosx/debug,199909301,3327
ios/RheaApp/build/DerivedData/Build/Intermediates.noindex/ArchiveIntermediates,199752448,1851
ios/RheaApp/build/DerivedData/Build/Intermediates.noindex/ArchiveIntermediates/RheaApp,199752448,1851
ios/RheaApp/build/DerivedData/SourcePackages/checkouts,191517537,4972
packages/RheaKit/.build/index-build/checkouts,191356662,4888
packages/RheaKit/.build/checkouts,191356007,4888
rhea-tui,186296559,773
rhea-tui/target,185912854,756
rhea-tui/target/release,185911004,754
rhea-atlas/.next/cache,184520688,27
rhea-atlas/.next/cache/webpack,184151639,23
.rhea,178556598,25
.rhea/radio,176201167,4
vendor/libtailscale/swift/build/Build/Intermediates.noindex,174936605,486
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/index,172075540,4717
vendor/libtailscale/swift/build/Build/Intermediates.noindex/TailscaleKit.build,171943295,427
rhea-tui/target/release/deps,167607283,229
vendor/libtailscale/swift/build/Build/Products,164119716,57
mirror,161488814,483
mirror/firebase_storage,161255949,482
ios/RheaPreview.swiftpm/.build/arm64-apple-macosx/debug/ModuleCache,161124291,197
rhea-angel-game,157670812,723
rhea-angel-game/target,157627542,719
rhea-angel-game/target/release,157625692,717
rhea-ai-auth,157620487,722
rhea-ai-auth/target,157578242,718
rhea-ai-auth/target/release,157576392,716
ios/RheaApp/build/DerivedData/SourcePackages/checkouts/GRDB.swift,154914628,3066
packages/RheaKit/.build/index-build/checkouts/GRDB.swift,154914583,3066
packages/RheaKit/.build/checkouts/GRDB.swift,154914523,3066
ios/rhea-plus-ui,151030903,238
ios/rhea-plus-ui/.build,151020821,233
ios/rhea-plus-ui/.build/index-build,151020821,233
.entire/metadata,146653044,144
rhea-biorenderer,146453895,638
rhea-biorenderer/target,146402484,631
rhea-biorenderer/target/release,146394486,628
rhea-rag,146186137,633
rhea-rag/target,146146686,629
rhea-rag/target/release,146144836,627
friends,145966392,2949
friends/codex-cli,145018368,2880
rhea-atlas/node_modules/next,139453016,7312
rhea-atlas/node_modules/next/dist,139210561,7181
rhea-angel-game/target/release/deps,139177910,223
rhea-ai-auth/target/release/deps,139154001,223
docs/rheakit-docs,138865896,29621
docs/rheakit-docs/node_modules,138831060,29616
ios/RheaApp/build/DerivedData/Build/Intermediates.noindex/ArchiveIntermediates/RheaApp/IntermediateBuildFilesPath,135519079,1761
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/index/db,134225984,2
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/index/db/v13,134225984,2
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/index/db/v13/p6873--4959a2,134225984,2
.entire/snapshots,133688052,585
vendor/libtailscale/swift/build/Build/Intermediates.noindex/TailscaleKit.build/Release-iphonesimulator,130764419,279
vendor/libtailscale/swift/build/Build/Intermediates.noindex/TailscaleKit.build/Release-iphonesimulator/TailscaleKit iOS Sim.build,130763694,278
rhea-biorenderer/target/release/deps,130734011,196
rhea-rag/target/release/deps,130617767,196
rhea-atlas/node_modules/@next,130405116,61
rhea-atlas/node_modules/@next/swc-darwin-arm64,130287191,3
build,129347837,65
vendor/libtailscale/swift/build/ModuleCache.noindex,124055142,317
docs/restore/2/docscreatewithplaycom-14470916153341,123553145,344
docs/restore/2/docscreatewithplaycom-14470916153341/en,123553145,344
docs/restore/2/docscreatewithplaycom-14470916153341/en/articles,123553145,344
friends/codex-cli/.git.nested-backup,122445820,28
friends/codex-cli/.git.nested-backup/objects,121871715,3
friends/codex-cli/.git.nested-backup/objects/pack,121871715,3
frontier-gem/target/debug/incremental,116614744,792
ios/RheaApp/build/DerivedData/SourcePackages/checkouts/GRDB.swift/SQLiteCustom,111301402,2251
packages/RheaKit/.build/checkouts/GRDB.swift/SQLiteCustom,111301402,2251
packages/RheaKit/.build/index-build/checkouts/GRDB.swift/SQLiteCustom,111301402,2251
ios/RheaApp/build/DerivedData/SourcePackages/checkouts/GRDB.swift/SQLiteCustom/src,111297204,2242
packages/RheaKit/.build/checkouts/GRDB.swift/SQLiteCustom/src,111297204,2242
packages/RheaKit/.build/index-build/checkouts/GRDB.swift/SQLiteCustom/src,111297204,2242
ios/RheaApp/build/DerivedData/SourcePackages/checkouts/GRDB.swift/SQLiteCustom/src/sqlite,111252735,2224
packages/RheaKit/.build/checkouts/GRDB.swift/SQLiteCustom/src/sqlite,111252735,2224
packages/RheaKit/.build/index-build/checkouts/GRDB.swift/SQLiteCustom/src/sqlite,111252735,2224
build/RheaApp-b30.xcarchive,104715198,46
ios/RheaApp/build/RheaApp.xcarchive,104637429,46
rhea-atlas/node_modules/next/dist/compiled,102121905,1125
docs/restore/2/docscreatewithplaycom-14470916153636,101086743,282
docs/restore/2/docscreatewithplaycom-14470916153636/en,101086743,282
docs/restore/2/docscreatewithplaycom-14470916153636/en/articles,101086743,282
.venv/lib/python3.11/site-packages/scipy,98682976,2392
rhea-dashboard,93673138,4094
rhea-dashboard/node_modules,93339455,4068
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache/B39TT8BUGESD,90312962,154
mirror/firebase_storage/clientGeneratedAssets,89644589,238
mirror/firebase_storage/clientGeneratedAssets/pageThumbnails,89644589,238
rhea-atlas/.next/cache/webpack/server-production,87887586,4
ios/RheaApp/build/DerivedData/SourcePackages/checkouts/GRDB.swift/SQLiteCustom/src/sqlite/test,87303802,1244
packages/RheaKit/.build/checkouts/GRDB.swift/SQLiteCustom/src/sqlite/test,87303802,1244
packages/RheaKit/.build/index-build/checkouts/GRDB.swift/SQLiteCustom/src/sqlite/test,87303802,1244
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache/276PRSSVJJI72,85377680,84
packages/RheaKit/.build/arm64-apple-macosx/debug/ModuleCache/276PRSSVJJI72,85359216,84
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache/3LTWWW40BYTD7,83582472,73
ios/rhea-plus-ui/.build/index-build/repositories,82359388,184
ios/RheaPreview.swiftpm/.build/arm64-apple-macosx/debug/ModuleCache/VH9U2OHBKS4T,81924256,75
packages/RheaKit/.build/arm64-apple-macosx/debug/ModuleCache/3TAJ5AL5E78IP,79275608,73
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache/3TAJ5AL5E78IP,79274984,73
ios/RheaPreview.swiftpm/.build/arm64-apple-macosx/debug/ModuleCache/7K9VL3N5EWXO,78956280,71
vendor/libtailscale/swift/build/Build/Intermediates.noindex/TailscaleKit.build/Release-iphonesimulator/TailscaleKit iOS Sim.build/VerifyModule,75279650,158
.venv/lib/python3.11/site-packages/sympy,75152452,3093
ios/Frameworks,74661165,24
ios/Frameworks/TailscaleKit.xcframework,74661165,24
vendor/libtailscale/swift/build/Build/Products/Release-iphonefat,74661165,24
vendor/libtailscale/swift/build/Build/Products/Release-iphonefat/TailscaleKit.xcframework,74661165,24
rhea-atlas/.next/cache/webpack/client-production,73712537,8
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache/13MXK8LEWXLFA,73019660,66
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache/2MHV37PHSK53Z,72043166,132
mirror/firebase_storage/teams,71611360,244
build/RheaApp-b30.xcarchive/dSYMs,71361181,13
ios/RheaApp/build/RheaApp.xcarchive/dSYMs,71263864,13
frontier-gem/target/debug/incremental/frontier_gem-2g2lvwsnhqtbo,70696726,476
.venv/lib/python3.11/site-packages/pandas,70637714,2923
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache/3R5YVR6BP80WT,70405244,64
src/.venv/lib/python3.11/site-packages/litellm,68992566,4095
.venv/lib/python3.11/site-packages/litellm,68986022,4095
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache/2MOS8PTFCXL7A,68779388,62
ios/rhea-plus-ui/.build/index-build/arm64-apple-macosx,68656113,47
ios/rhea-plus-ui/.build/index-build/arm64-apple-macosx/debug,68656113,47
ios/rhea-plus-ui/.build/index-build/arm64-apple-macosx/debug/index,68373932,36
ios/RheaPreview.swiftpm/.build/index-build,67117245,3
ios/RheaPreview.swiftpm/.build/index-build/arm64-apple-macosx,67117120,2
ios/RheaPreview.swiftpm/.build/index-build/arm64-apple-macosx/debug,67117120,2
ios/RheaPreview.swiftpm/.build/index-build/arm64-apple-macosx/debug/index,67117120,2
ios/RheaPreview.swiftpm/.build/index-build/arm64-apple-macosx/debug/index/db,67117120,2
ios/RheaPreview.swiftpm/.build/index-build/arm64-apple-macosx/debug/index/db/v13,67117120,2
ios/RheaPreview.swiftpm/.build/index-build/arm64-apple-macosx/debug/index/db/v13/saved,67117120,2
ios/rhea-plus-ui/.build/index-build/arm64-apple-macosx/debug/index/db,67117120,2
ios/rhea-plus-ui/.build/index-build/arm64-apple-macosx/debug/index/db/v13,67117120,2
ios/rhea-plus-ui/.build/index-build/arm64-apple-macosx/debug/index/db/v13/saved,67117120,2
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache/VWYCT01293OX,64864048,62
build/RheaApp-b30.xcarchive/dSYMs/RheaApp.app.dSYM,64856634,4
build/RheaApp-b30.xcarchive/dSYMs/RheaApp.app.dSYM/Contents,64856634,4
build/RheaApp-b30.xcarchive/dSYMs/RheaApp.app.dSYM/Contents/Resources,64855985,3
packages/RheaKit/.build/arm64-apple-macosx/debug/ModuleCache/VWYCT01293OX,64852960,62
ios/RheaApp/build/RheaApp.xcarchive/dSYMs/RheaApp.app.dSYM,64760079,4
ios/RheaApp/build/RheaApp.xcarchive/dSYMs/RheaApp.app.dSYM/Contents,64760079,4
ios/RheaApp/build/RheaApp.xcarchive/dSYMs/RheaApp.app.dSYM/Contents/Resources,64759430,3
rhea-dash/target/debug/incremental,64419263,558
ios/RheaApp/build/DerivedData/Build/Intermediates.noindex/ArchiveIntermediates/RheaApp/BuildProductsPath,64233369,90
ios/RheaApp/build/DerivedData/Build/Intermediates.noindex/ArchiveIntermediates/RheaApp/BuildProductsPath/Release-iphoneos,64233369,90
.entire/metadata/94aabe90-9b2d-48e7-be8c-6bf820a0b6a9,61498683,4
vendor/libtailscale/swift/build/Build/Products/Release-iphonesimulator,60266887,20
