path,size_bytes,extension,corpus,guessed_class
Play.bndb,853401600,.bndb,reverse,binary_artifact
.git/objects/pack/pack-4292651a5458f36f2460504d6af3bd0088967279.pack,382886464,.pack,unknown,other
.git/objects/pack/tmp_pack_0YSdpp,382861324,[none],unknown,other
.git/objects/pack/tmp_pack_5Ovm1B,382861324,[none],unknown,other
.git/objects/pack/tmp_pack_8GlWp0,382861324,[none],unknown,other
.git/objects/pack/tmp_pack_8tQin2,382861324,[none],unknown,other
.git/objects/pack/tmp_pack_9D34mz,382861324,[none],unknown,other
.git/objects/pack/tmp_pack_BlEiHS,382861324,[none],unknown,other
.git/objects/pack/tmp_pack_C8UTPN,382861324,[none],unknown,other
.git/objects/pack/tmp_pack_CuhAcV,382861324,[none],unknown,other
.git/objects/pack/tmp_pack_EyVN29,382861324,[none],unknown,other
.git/objects/pack/tmp_pack_HByxov,382861324,[none],unknown,other
.git/objects/pack/tmp_pack_iRoGc1,382861324,[none],unknown,other
.git/objects/pack/tmp_pack_s9hUmV,382861324,[none],unknown,other
.git/objects/pack/tmp_pack_xCEP2K,382861324,[none],unknown,other
.git/objects/pack/tmp_pack_yPULy6,382861324,[none],unknown,other
ios/RheaApp/build/DerivedData/SourcePackages/repositories/GRDB.swift-dd0599db/objects/pack/pack-e73cea08e8274a26087deff517e6016b3426a003.pack,236626027,.pack,app_bundles,other
packages/RheaKit/.build/index-build/repositories/GRDB.swift-dd0599db/objects/pack/pack-e73cea08e8274a26087deff517e6016b3426a003.pack,236626027,.pack,ui_assets,other
packages/RheaKit/.build/repositories/GRDB.swift-dd0599db/objects/pack/pack-e455b237506c3b5a92a8a39edbef870cf61bf638.pack,236584500,.pack,ui_assets,other
.rhea/radio/radio.stdout.log,176195759,.log,unknown,other
.git/objects/pack/tmp_pack_TFEA33,165281804,[none],unknown,other
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/index/db/v13/p6873--4959a2/data.mdb,134217728,.mdb,ui_assets,other
rhea-atlas/node_modules/@next/swc-darwin-arm64/next-swc.darwin-arm64.node,130286696,.node,ui_assets,other
friends/codex-cli/.git.nested-backup/objects/pack/pack-85f4e57c7af2ad504486a2adcf3278561d884e6b.pack,117471423,.pack,unknown,other
.git/objects/pack/pack-52092b925e50a3b4b1a449aeff53d49bc9e0a9aa.pack,106051176,.pack,unknown,other
rhea-atlas/.next/cache/webpack/server-production/0.pack,68235073,.pack,app_bundles,other
ios/RheaPreview.swiftpm/.build/index-build/arm64-apple-macosx/debug/index/db/v13/saved/data.mdb,67108864,.mdb,unknown,other
ios/rhea-plus-ui/.build/index-build/arm64-apple-macosx/debug/index/db/v13/saved/data.mdb,67108864,.mdb,unknown,other
.entire/metadata/94aabe90-9b2d-48e7-be8c-6bf820a0b6a9/full.jsonl,61492492,.jsonl,unknown,other
build/RheaApp-b30.xcarchive/dSYMs/RheaApp.app.dSYM/Contents/Resources/DWARF/RheaApp,58884220,[none],unknown,other
ios/RheaApp/build/RheaApp.xcarchive/dSYMs/RheaApp.app.dSYM/Contents/Resources/DWARF/RheaApp,58780988,[none],app_bundles,other
rhea-atlas/.next/cache/webpack/client-production/0.pack,56961428,.pack,app_bundles,other
ios/RheaApp/build/DerivedData/SourcePackages/repositories/swift-markdown-ui-fc3eaf1f/objects/pack/pack-8b06a952262ae98839f9f4cab4d31b0f4ec50404.pack,53181566,.pack,app_bundles,other
packages/RheaKit/.build/repositories/swift-markdown-ui-fc3eaf1f/objects/pack/pack-c1535d0fbd69a379a73fb151c5b81f85ef582f4b.pack,53181084,.pack,ui_assets,other
packages/RheaKit/.build/index-build/repositories/swift-markdown-ui-fc3eaf1f/objects/pack/pack-2e99ba5b0466d3dd27a9ec6471553dca94dda8f4.pack,53181046,.pack,ui_assets,other
vendor/libtailscale/libtailscale_ios_sim.a,52834560,.a,unknown,binary_artifact
