path,type,reason,likely_use,confidence
.venv/lib/python3.11/site-packages/cirq_web/dist/bloch_sphere.bundle.js,component_or_asset,path/extension matches UI surface,"frontend reconstruction, visual mapping, component linkage",0.68
.venv/lib/python3.11/site-packages/cirq_web/dist/circuit.bundle.js,component_or_asset,path/extension matches UI surface,"frontend reconstruction, visual mapping, component linkage",0.68
.venv/lib/python3.11/site-packages/litellm/proxy/_experimental/out/assets/audit-logs-preview.png,visual_asset,path/extension matches UI surface,"frontend reconstruction, visual mapping, component linkage",0.80
.venv/lib/python3.11/site-packages/litellm/proxy/_experimental/out/assets/logos/a2a_agent.png,visual_asset,path/extension matches UI surface,"frontend reconstruction, visual mapping, component linkage",0.80
.venv/lib/python3.11/site-packages/litellm/proxy/_experimental/out/assets/logos/aim_logo.jpeg,visual_asset,path/extension matches UI surface,"frontend reconstruction, visual mapping, component linkage",0.80
.venv/lib/python3.11/site-packages/litellm/proxy/_experimental/out/assets/logos/aim_security.jpeg,visual_asset,path/extension matches UI surface,"frontend reconstruction, visual mapping, component linkage",0.80
.venv/lib/python3.11/site-packages/litellm/proxy/_experimental/out/assets/logos/aiml_api.svg,visual_asset,path/extension matches UI surface,"frontend reconstruction, visual mapping, component linkage",0.80
.venv/lib/python3.11/site-packages/litellm/proxy/_experimental/out/assets/logos/anthropic.svg,visual_asset,path/extension matches UI surface,"frontend reconstruction, visual mapping, component linkage",0.80
.venv/lib/python3.11/site-packages/litellm/proxy/_experimental/out/assets/logos/aporia.png,visual_asset,path/extension matches UI surface,"frontend reconstruction, visual mapping, component linkage",0.80
.venv/lib/python3.11/site-packages/litellm/proxy/_experimental/out/assets/logos/arize.png,visual_asset,path/extension matches UI surface,"frontend reconstruction, visual mapping, component linkage",0.80
.venv/lib/python3.11/site-packages/litellm/proxy/_experimental/out/assets/logos/assemblyai_small.png,visual_asset,path/extension matches UI surface,"frontend reconstruction, visual mapping, component linkage",0.80
.venv/lib/python3.11/site-packages/litellm/proxy/_experimental/out/assets/logos/aws.svg,visual_asset,path/extension matches UI surface,"frontend reconstruction, visual mapping, component linkage",0.80
.venv/lib/python3.11/site-packages/litellm/proxy/_experimental/out/assets/logos/azure_ai_foundry.png,visual_asset,path/extension matches UI surface,"frontend reconstruction, visual mapping, component linkage",0.80
.venv/lib/python3.11/site-packages/litellm/proxy/_experimental/out/assets/logos/bedrock.svg,visual_asset,path/extension matches UI surface,"frontend reconstruction, visual mapping, component linkage",0.80
.venv/lib/python3.11/site-packages/litellm/proxy/_experimental/out/assets/logos/braintrust.png,visual_asset,path/extension matches UI surface,"frontend reconstruction, visual mapping, component linkage",0.80
.venv/lib/python3.11/site-packages/litellm/proxy/_experimental/out/assets/logos/cerebras.svg,visual_asset,path/extension matches UI surface,"frontend reconstruction, visual mapping, component linkage",0.80
.venv/lib/python3.11/site-packages/litellm/proxy/_experimental/out/assets/logos/cohere.svg,visual_asset,path/extension matches UI surface,"frontend reconstruction, visual mapping, component linkage",0.80
.venv/lib/python3.11/site-packages/litellm/proxy/_experimental/out/assets/logos/databricks.svg,visual_asset,path/extension matches UI surface,"frontend reconstruction, visual mapping, component linkage",0.80
