"Title","URL","Description","h1 headings","h2 headings","h3 headings","h4 headings","Title length","Description length","Response time","Content","Link count","Word count","Possible duplicates","Internal backlinks","Last modified","Robots","Canonical","Image count","Image weight","Depth","Internal links","External links","Redirects to here"
"Get Image Colors - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-get-image-colors","","Get Image Colors","Overview, Controls, Using Get Image Colors Prefabs","","","33","0","0.52954 s","325kb","32","226","","52","","","https://docs.createwithplay.com/en/articles/prefab-get-image-colors","7","15kb","7","90","0","0"
"Text Contrast (Luminance) - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-text-contrast-luminance","","Text Contrast (Luminance)","Overview, Controls","Contrast Ratio, Min Brightness, BG Container","","42","0","0.85457 s","319kb","36","291","","63","","","https://docs.createwithplay.com/en/articles/prefab-text-contrast-luminance","7","15kb","7","94","0","0"
"Text Contrast (Hue) - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-text-contrast-hue","","Text Contrast (Hue)","Overview, Controls","Contrast Ratio, Min Brightness, BG Container","","36","0","0.76501 s","319kb","36","303","","57","","","https://docs.createwithplay.com/en/articles/prefab-text-contrast-hue","7","15kb","7","94","0","0"
"Contains Emoji - Createwithplay","https://docs.createwithplay.com/en/articles/contains-emoji","An expression editor function that checks if a string contains any emoji characters.","Contains Emoji","Overview, Parameters, Example","","","31","84","0.53462 s","337kb","61","235","","157","","","https://docs.createwithplay.com/en/articles/contains-emoji","7","15kb","7","119","0","0"
"Conditional - Createwithplay","https://docs.createwithplay.com/en/articles/conditional","An expression editor function that returns one of two values based on a boolean condition.","Conditional","Overview, Parameters, Example","","","28","90","0.57447 s","339kb","61","289","","157","","","https://docs.createwithplay.com/en/articles/conditional","7","15kb","7","119","0","0"
"Child At Index - Createwithplay","https://docs.createwithplay.com/en/articles/child-at-index","An expression editor function that targets a specific child element by its position.","Child At Index","Overview, Parameters, Example","","","31","84","0.61344 s","342kb","61","263","","157","","","https://docs.createwithplay.com/en/articles/child-at-index","7","15kb","7","119","0","0"
"Base 64 String - Createwithplay","https://docs.createwithplay.com/en/articles/base-64-string","An expression editor function that encodes a string in base64 format.","Base 64 String","Overview, Parameters, Example","","","31","69","0.66143 s","338kb","61","240","","157","","","https://docs.createwithplay.com/en/articles/base-64-string","7","15kb","7","119","0","0"
"Touch Down Effect - Createwithplay","https://docs.createwithplay.com/en/articles/prefab-touch-down-effect","A prefab that changes an object's size then resets it.","Touch Down Effect","Overview, Controls, Resources, Touch Up & Down","Scale, Opacity, Spring, Duration, Down Haptic, Up Haptic","","34","54","0.89187 s","329kb","42","289","","76","","","https://docs.createwithplay.com/en/articles/prefab-touch-down-effect","7","15kb","7","100","0","0"
"Dictionary - Createwithplay","https://docs.createwithplay.com/en/articles/dictionary","An expression editor function that creates a new empty dictionary.","Dictionary","Overview, Parameters","","","27","66","0.78049 s","328kb","59","212","","154","","","https://docs.createwithplay.com/en/articles/dictionary","7","15kb","7","117","0","0"
"Decode JSON - Createwithplay","https://docs.createwithplay.com/en/articles/decode-json","An expression editor function that converts JSON strings back to usable data structures.","Decode JSON","Overview, Parameters, Example","","","28","88","0.96333 s","338kb","61","241","","156","","","https://docs.createwithplay.com/en/articles/decode-json","7","15kb","7","119","0","0"
"Distance (Values) - Createwithplay","https://docs.createwithplay.com/en/articles/distance-between-values","An expression editor function that calculates the absolute difference between two numbers.","Distance (Values)","Overview, Parameters, Example","","","34","90","0.81848 s","338kb","61","241","","156","","","https://docs.createwithplay.com/en/articles/distance-between-values","7","15kb","7","119","0","0"
"Get All Descendent Views - Createwithplay","https://docs.createwithplay.com/en/articles/get-all-descendent-views","An expression editor function that returns all nested child views in a hierarchy.","Get All Descendent Views","Overview, Parameters","","","41","81","0.83566 s","330kb","59","236","","153","","","https://docs.createwithplay.com/en/articles/get-all-descendent-views","7","15kb","7","117","0","0"
"Distance (Points) - Createwithplay","https://docs.createwithplay.com/en/articles/distance-between-points","An expression editor function that calculates the distance between two coordinate points.","Distance (Points)","Overview, Parameters, Example","","","34","89","0.91680 s","339kb","61","268","","156","","","https://docs.createwithplay.com/en/articles/distance-between-points","7","15kb","7","119","0","0"
"Get User Default - Createwithplay","https://docs.createwithplay.com/en/articles/get-user-default","An expression editor function that retrieves stored data from UserDefaults.","Get User Default","Overview, Parameters, Example","","","33","75","0.61292 s","338kb","61","242","","155","","","https://docs.createwithplay.com/en/articles/get-user-default","7","15kb","7","119","0","0"
"Image Shuffle - Createwithplay","https://docs.createwithplay.com/en/articles/image-shuffle","An expression editor function that returns a random image from your project assets.","Image Shuffle","Overview, Parameters","","","30","83","0.62710 s","329kb","59","215","","154","","","https://docs.createwithplay.com/en/articles/image-shuffle","7","15kb","7","117","0","0"
"Get Subviews - Createwithplay","https://docs.createwithplay.com/en/articles/get-subviews","An expression editor function that returns an array of direct child views.","Get Subviews","Overview, Parameters","","","29","74","0.83717 s","329kb","59","227","","153","","","https://docs.createwithplay.com/en/articles/get-subviews","7","15kb","7","117","0","0"
"! (Inverse) - Createwithplay","https://docs.createwithplay.com/en/articles/inverse","An expression editor function that returns the inverse of a variable or property.","! (Inverse)","Overview, Parameters, Example","","","28","81","0.78616 s","337kb","61","241","","156","","","https://docs.createwithplay.com/en/articles/inverse","7","15kb","7","119","0","0"
"Is Emoji - Createwithplay","https://docs.createwithplay.com/en/articles/is-emoji","An expression editor function that checks if a string is an emoji.","Is Emoji","Overview, Parameters, Example","","","25","66","0.96511 s","337kb","61","232","","157","","","https://docs.createwithplay.com/en/articles/is-emoji","7","15kb","7","119","0","0"
"Number - Createwithplay","https://docs.createwithplay.com/en/articles/number","An expression editor function that converts a string to a number.","Number","Overview, Parameters, Example","","","23","65","0.44059 s","339kb","61","245","","157","","","https://docs.createwithplay.com/en/articles/number","7","15kb","7","119","0","0"
"Is Nil - Createwithplay","https://docs.createwithplay.com/en/articles/is-nil","An expression editor function that checks if a value is nil.","Is Nil","Overview, Parameters, Example","","","23","60","0.95719 s","343kb","61","265","","157","","","https://docs.createwithplay.com/en/articles/is-nil","7","15kb","7","119","0","0"
"Placeholder - Createwithplay","https://docs.createwithplay.com/en/articles/placeholder","An expression editor function that generates random placeholder content by category.","Placeholder","Overview, Parameters, Example","","","28","84","0.62364 s","338kb","61","250","","156","","","https://docs.createwithplay.com/en/articles/placeholder","7","15kb","7","119","0","0"
"JSON String - Createwithplay","https://docs.createwithplay.com/en/articles/json-string","An expression editor function that converts a dictionary to JSON format.","JSON String","Overview, Parameters, Example","","","28","72","0.98056 s","337kb","61","235","","157","","","https://docs.createwithplay.com/en/articles/json-string","7","15kb","7","119","0","0"
