"Title","URL","Description","h1 headings","h2 headings","h3 headings","h4 headings","Title length","Description length","Response time","Content","Link count","Word count","Possible duplicates","Internal backlinks","Last modified","Robots","Canonical","Image count","Image weight","Depth","Internal links","External links","Redirects to here"
"Projects and Drafts - Createwithplay","https://docs.createwithplay.com/en/articles/projects-and-drafts","","Projects and Drafts","Overview","Drafts, Moving a Project or Draft","","36","0","0.56142 s","314kb","35","340","","210","","","https://docs.createwithplay.com/en/articles/projects-and-drafts","7","15kb","1","94","0","0"
"Interaction Mode - Createwithplay","https://docs.createwithplay.com/en/articles/interactions","","Interaction Mode","Overview, Anatomy of an Interaction, Creating an Interaction, Managing an Interaction, Testing an Interaction, Lock Selection, Annotating Interactions, Advanced Prototyping, Expression Editor, Variables, Conditions, Animate, Delay, Loops","Expression Editor, Variables, Conditions, Animate and Delay Blocks, Loop, Component Interactions","","33","0","0.75394 s","377kb","69","1224","","5405","","","https://docs.createwithplay.com/en/articles/interactions","7","15kb","1","128","0","0"
"Editor - Createwithplay","https://docs.createwithplay.com/en/articles/editor","Edit projects on macOS and iOS.","Editor","Overview","Pages, Components, Design, Interaction, Settings, Pages, Components, Design","","23","31","0.81504 s","330kb","47","782","","3354","","","https://docs.createwithplay.com/en/articles/editor","7","15kb","1","105","0","0"
"Design Mode - Createwithplay","https://docs.createwithplay.com/en/articles/design-mode","","Design Mode","Overview, Design with Structure, Design Mode UI","Add Objects, Layers, Styles, Variables, Code, Events, and AI Panels, Attribute Panels","","28","0","0.82042 s","318kb","52","551","","3685","","","https://docs.createwithplay.com/en/articles/design-mode","7","15kb","1","110","0","0"
"Import Figma Styles - Createwithplay","https://docs.createwithplay.com/en/articles/import-figma-design-system","","Import Figma Styles","Overview, Figma Plugin, Upload to Play","","","36","0","0.44500 s","314kb","33","316","","191","","","https://docs.createwithplay.com/en/articles/import-figma-design-system","7","15kb","1","92","0","0"
"Import Figma - Createwithplay","https://docs.createwithplay.com/en/articles/import-figma","","Import Figma","Overview, Authorizing Figma within Play, Importing Designs from Figma, Considerations, Questions or Comments","The Golden Rules, Importing Assets from Figma, Importing Text from Figma, Importing UI from Figma, General Best Practices, Troubleshooting, Coming soon!","","29","0","0.45415 s","345kb","54","816","","225","","","https://docs.createwithplay.com/en/articles/import-figma","7","15kb","1","113","0","0"
"Billing & Payments - Createwithplay","https://docs.createwithplay.com/en/articles/billing-payment","","Billing & Payments","Overview, Play's Web Dashboard, Canceling Plans, View Invoices","","","35","0","0.45461 s","304kb","33","251","","180","","","https://docs.createwithplay.com/en/articles/billing-payment","7","15kb","1","91","0","0"
"Admin Questions - Createwithplay","https://docs.createwithplay.com/en/articles/administrative-questions","","Admin Questions","Create Account, Change Password, Delete Data, Change Team Ownership, Report a Bug, Check Notifications","","","32","0","0.42851 s","326kb","39","541","","189","","","https://docs.createwithplay.com/en/articles/administrative-questions","7","15kb","1","98","0","0"
"Share Design File - Createwithplay","https://docs.createwithplay.com/en/articles/share-design-file","Share a design file privately or publicly.","Share Design File","Overview, Generate an Editor Link","Editor Links for Drafts, From the Lobby, From the Editor","","34","42","0.57516 s","319kb","34","443","","197","","","https://docs.createwithplay.com/en/articles/share-design-file","7","15kb","1","93","0","0"
"Teams and Managing Members - Createwithplay","https://docs.createwithplay.com/en/articles/teams-and-members","Description of your new file.","Teams and Managing Members","Overview, Remove a Team Member","","","43","29","0.51570 s","302kb","31","286","","229","","","https://docs.createwithplay.com/en/articles/teams-and-members","7","15kb","1","89","0","0"
"Updating Play for iOS  - Createwithplay","https://docs.createwithplay.com/en/articles/updating-i-os","","Updating Play for iOS","","","","39","0","0.88140 s","298kb","26","166","","169","","","https://docs.createwithplay.com/en/articles/updating-i-os","7","15kb","1","85","0","0"
"Actions - Createwithplay","https://docs.createwithplay.com/en/articles/actions","Actions are responses to a fired trigger.","Actions","Overview","","","24","41","0.68484 s","345kb","206","462","","740","","","https://docs.createwithplay.com/en/articles/actions","14","30kb","1","322","0","0"
"Paid Plans & Upgrades - Createwithplay","https://docs.createwithplay.com/en/articles/plans-and-upgrades","Description of your new file.","Paid Plans & Upgrades","Overview, Play's Web Dashboard, Upgrading, Downgrading, and Canceling Plans, Student Discounts","Paid Plans","","38","29","0.78506 s","324kb","38","690","","41","","","https://docs.createwithplay.com/en/articles/plans-and-upgrades","7","15kb","2","96","0","0"
