"status","url","link text","redirect","On page"
"404 not found","https://docs.createwithplay.com/en/articles/explore-section","Learn section","","https://docs.createwithplay.com/"
"404 not found","https://docs.createwithplay.com/en/articles/navigate-play-s-macos-editor","orientation","","https://docs.createwithplay.com/en/articles/editor"
"404 not found","https://docs.createwithplay.com/en/articles/introduction-to-interactions","Interaction","","https://docs.createwithplay.com/en/articles/editor"
"404 not found","https://docs.createwithplay.com/en/articles/adding-objects-to-your-design","here","","https://docs.createwithplay.com/en/articles/editor"
"404 not found","https://createwithplay.com/play-to-xcode/individuals","sample Xcode project","","https://docs.createwithplay.com/en/articles/dev-handoff"
"404 not found","https://docs.createwithplay.com/en/articles/exporting-your-play-project-to-xcode","Play to Xcode","","https://docs.createwithplay.com/en/articles/dev-handoff"
"404 not found","https://createwithplay.com/play-to-xcode/startups","Play to Xcode for Startups","","https://docs.createwithplay.com/en/articles/dev-handoff"
"404 not found","https://createwithplay.com/play-to-xcode/enterprise","Enterprise Solutions","","https://docs.createwithplay.com/en/articles/dev-handoff"
"404 not found","https://createwithplay.com/play-to-xcode/individuals","Individual Developers","","https://docs.createwithplay.com/en/articles/dev-handoff"
"404 not found","https://docs.createwithplay.com/en/articles/overview-of-the-attribute-panels","attribute panels","","https://docs.createwithplay.com/en/articles/design-mode"
"404 not found","https://docs.createwithplay.com/en/articles/the-code-panel","The Code Panel","","https://docs.createwithplay.com/en/collections/swiftui-code-play-to-xcode"
"404 not found","https://docs.createwithplay.com/en/articles/the-difference-between-play-to-xcode-and-play-s-code-panel","The Difference Between Play to Xcode and Play's Code Panel","","https://docs.createwithplay.com/en/collections/swiftui-code-play-to-xcode"
"404 not found","https://docs.createwithplay.com/en/articles/exporting-your-play-project-to-xcode","Exporting your Play Project to Xcode","","https://docs.createwithplay.com/en/collections/swiftui-code-play-to-xcode"
"404 not found","https://docs.createwithplay.com/en/articles/implementing-your-play-project-in-xcode","Implementing your Play Project in Xcode","","https://docs.createwithplay.com/en/collections/swiftui-code-play-to-xcode"
"404 not found","https://docs.createwithplay.com/en/articles/updating-your-swift-package-from-play","Updating your Swift Package from Play","","https://docs.createwithplay.com/en/collections/swiftui-code-play-to-xcode"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/color-well","Color Picker Event","","https://docs.createwithplay.com/en/articles/color-well"
"404 not found","https://docs.createwithplay.com/en/articles/adding-objects-to-your-design","adding elements to your page","","https://docs.createwithplay.com/en/articles/elements"
"404 not found","https://docs.createwithplay.com/en/articles/mapbox-api-address-lookup-prefab-api","Get API Data","","https://docs.createwithplay.com/en/articles/prefab-mapbox-api"
"404 not found","https://docs.createwithplay.com/en/articles/openai-api-prefab-api","Get API Data","","https://docs.createwithplay.com/en/articles/prefab-openai-api"
"404 not found","https://docs.createwithplay.com/en/articles/drag-around-prefab-pan","Drag Around prefabs","","https://docs.createwithplay.com/en/articles/prefab-snap-to-bounds"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-set-view-model-action","Learn more about Rive / Set View Model actions","","https://docs.createwithplay.com/en/articles/rive-overview"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-set-data-model-property-action","Learn more about Rive / Data Model Property actions","","https://docs.createwithplay.com/en/articles/rive-overview"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-set-data-model-list-action","Learn more about Rive / Set Data Model List actions","","https://docs.createwithplay.com/en/articles/rive-overview"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-event-trigger","Learn more about Rive Event triggers","","https://docs.createwithplay.com/en/articles/rive-overview"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/set-rive-playback-action","Learn more about Set Rive Playback actions","","https://docs.createwithplay.com/en/articles/rive-overview"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/set-rive-input-action","Learn more about Set Rive Input actions","","https://docs.createwithplay.com/en/articles/rive-overview"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/set-rive-artboard-action","Learn more about Set Rive Artboard actions","","https://docs.createwithplay.com/en/articles/rive-overview"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-set-text-action","Learn more about Rive / Set Text actions","","https://docs.createwithplay.com/en/articles/rive-overview"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/set-rive-mute-action","Learn more about Set Rive Mute actions","","https://docs.createwithplay.com/en/articles/rive-overview"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/set-rive-volume","Learn more about Set Rive Volume actions","","https://docs.createwithplay.com/en/articles/rive-overview"
"404 not found","https://docs.createwithplay.com/en/articles/en/articles/rive-event-trigger","Learn more about Rive Event triggers","","https://docs.createwithplay.com/en/articles/rive-overview"
"404 not found","https://createwithplay.com/pricing","pricing page","","https://docs.createwithplay.com/en/articles/plans-and-upgrades"
"404 not found","https://createwithplay.com/pricing","pricing page","","https://docs.createwithplay.com/en/articles/plans-and-upgrades"
"404 not found","https://createwithplay.com/pricing","pricing page","","https://docs.createwithplay.com/en/articles/plans-and-upgrades"
