"Title","URL","Description","h1 headings","h2 headings","h3 headings","h4 headings","Title length","Description length","Response time","Content","Link count","Word count","Possible duplicates","Internal backlinks","Last modified","Robots","Canonical","Image count","Image weight","Depth","Internal links","External links","Redirects to here"
"Editor - Createwithplay","https://docs.createwithplay.com/en/articles/editor","Edit projects on macOS and iOS.","Editor","Overview","Pages, Components, Design, Interaction, Settings, Pages, Components, Design","","23","31","0.41375 s","330kb","36","782","","374","","","https://docs.createwithplay.com/en/articles/editor","7","15kb","1","94","0","0"
"Projects and Drafts - Createwithplay","https://docs.createwithplay.com/en/articles/projects-and-drafts","","Projects and Drafts","Overview","Drafts, Moving a Project or Draft","","36","0","0.40093 s","314kb","28","340","","26","","","https://docs.createwithplay.com/en/articles/projects-and-drafts","7","15kb","1","87","0","0"
"Interaction Mode - Createwithplay","https://docs.createwithplay.com/en/articles/interactions","","Interaction Mode","Overview, Anatomy of an Interaction, Creating an Interaction, Managing an Interaction, Testing an Interaction, Lock Selection, Annotating Interactions, Advanced Prototyping, Expression Editor, Variables, Conditions, Animate, Delay, Loops","Expression Editor, Variables, Conditions, Animate and Delay Blocks, Loop, Component Interactions","","33","0","0.72455 s","377kb","40","1224","","621","","","https://docs.createwithplay.com/en/articles/interactions","7","15kb","1","99","0","0"
"Design Mode - Createwithplay","https://docs.createwithplay.com/en/articles/design-mode","","Design Mode","Overview, Design with Structure, Design Mode UI","Add Objects, Layers, Styles, Variables, Code, Events, and AI Panels, Attribute Panels","","28","0","0.84177 s","318kb","39","551","","396","","","https://docs.createwithplay.com/en/articles/design-mode","7","15kb","1","97","0","0"
"Import Figma Styles - Createwithplay","https://docs.createwithplay.com/en/articles/import-figma-design-system","","Import Figma Styles","Overview, Figma Plugin, Upload to Play","","","36","0","0.71637 s","314kb","26","316","","24","","","https://docs.createwithplay.com/en/articles/import-figma-design-system","7","15kb","1","85","0","0"
"Import Figma - Createwithplay","https://docs.createwithplay.com/en/articles/import-figma","","Import Figma","Overview, Authorizing Figma within Play, Importing Designs from Figma, Considerations, Questions or Comments","The Golden Rules, Importing Assets from Figma, Importing Text from Figma, Importing UI from Figma, General Best Practices, Troubleshooting, Coming soon!","","29","0","0.84507 s","345kb","29","816","","25","","","https://docs.createwithplay.com/en/articles/import-figma","7","15kb","1","88","0","0"
"Admin Questions - Createwithplay","https://docs.createwithplay.com/en/articles/administrative-questions","","Admin Questions","Create Account, Change Password, Delete Data, Change Team Ownership, Report a Bug, Check Notifications","","","32","0","0.40775 s","326kb","26","541","","24","","","https://docs.createwithplay.com/en/articles/administrative-questions","7","15kb","1","85","0","0"
"Billing & Payments - Createwithplay","https://docs.createwithplay.com/en/articles/billing-payment","","Billing & Payments","Overview, Play's Web Dashboard, Canceling Plans, View Invoices","","","35","0","0.44139 s","304kb","26","251","","24","","","https://docs.createwithplay.com/en/articles/billing-payment","7","15kb","1","84","0","0"
"Share Design File - Createwithplay","https://docs.createwithplay.com/en/articles/share-design-file","Share a design file privately or publicly.","Share Design File","Overview, Generate an Editor Link","Editor Links for Drafts, From the Lobby, From the Editor","","34","42","0.45625 s","319kb","26","443","","26","","","https://docs.createwithplay.com/en/articles/share-design-file","7","15kb","1","85","0","0"
"Teams and Managing Members - Createwithplay","https://docs.createwithplay.com/en/articles/teams-and-members","Description of your new file.","Teams and Managing Members","Overview, Remove a Team Member","","","43","29","0.46458 s","302kb","26","286","","28","","","https://docs.createwithplay.com/en/articles/teams-and-members","7","15kb","1","84","0","0"
"Triggers - Createwithplay","https://docs.createwithplay.com/en/articles/triggers","Triggers are events that cause an action to fire.","Triggers","Overview","","","25","49","0.43120 s","318kb","55","311","","42","","","https://docs.createwithplay.com/en/articles/triggers","7","15kb","1","113","0","0"
