"Title","URL","Description","h1 headings","h2 headings","h3 headings","h4 headings","Title length","Description length","Response time","Content","Link count","Word count","Possible duplicates","Internal backlinks","Last modified","Robots","Canonical","Image count","Image weight","Depth","Internal links","External links","Redirects to here"
"Intro to Play - Createwithplay","https://docs.createwithplay.com/en/articles/getting-started","Welcome to Play! Play is a collaborative tool that lets you design, prototype, and ship your apps.","Intro to Play","Design with Play, Learn more about starting with your existing Figma files, Check out our examples projects in the Learn section, Prototype with Play, Share & Ship with Play, Share Prototypes with App Clips, Play to Xcode Documentation, Resources and Support, Play Community (hosted by Circle), support@createwithplay.com","","","30","98","0.67854 s","338kb","42","672","","6","","","https://docs.createwithplay.com/en/articles/getting-started","7","15kb","0","101","0","0"
"Editor - Createwithplay","https://docs.createwithplay.com/en/articles/editor","Edit projects on macOS and iOS.","Editor","Overview","Pages, Components, Design, Interaction, Settings, Pages, Components, Design","","23","31","0.55734 s","330kb","36","782","","374","","","https://docs.createwithplay.com/en/articles/editor","7","15kb","1","94","0","0"
"Interaction Mode - Createwithplay","https://docs.createwithplay.com/en/articles/interactions","","Interaction Mode","Overview, Anatomy of an Interaction, Creating an Interaction, Managing an Interaction, Testing an Interaction, Lock Selection, Annotating Interactions, Advanced Prototyping, Expression Editor, Variables, Conditions, Animate, Delay, Loops","Expression Editor, Variables, Conditions, Animate and Delay Blocks, Loop, Component Interactions","","33","0","0.56720 s","377kb","40","1224","","621","","","https://docs.createwithplay.com/en/articles/interactions","7","15kb","1","99","0","0"
"Play · Design and ship mobile apps with the power of iOS & SwiftUI","https://createwithplay.com/","Play is a collaborative tool that lets you design, prototype, and ship your apps. Use real native elements & materials, Apple's native gestures & Core Animation, and ship directly to Xcode.","Design, prototype, & ship with the power of Play AI., Design, prototype, & ship with the power of Play AI., Design, prototype, & ship with the power of Play AI., Don't be limited by your traditional design tools., Design in Play or import from Figma., Design in Play or import from Figma., Design in Play or import from Figma., Tired of prototypes that don't feel real?, Frictionless sharing with Apple App Clips., Frictionless sharing with Apple App Clips., Export your project in Play to Xcode., Export your project in Play to Xcode., Design with the real Liquid Glass in Play., We're working on something new., We're working on something new., We're working on something new., We're working on something new., We're working on something new.","Don't be limited by your traditional design tools., Design with the real Liquid Glass in Play., Design with the real Liquid Glass in Play., Design with the real Liquid Glass in Play.","","","66","189","0.65622 s","1002kb","63","3447","","396","1447-09-13","","https://createwithplay.com/","0","0kb","1","63","0","0"
"Design Mode - Createwithplay","https://docs.createwithplay.com/en/articles/design-mode","","Design Mode","Overview, Design with Structure, Design Mode UI","Add Objects, Layers, Styles, Variables, Code, Events, and AI Panels, Attribute Panels","","28","0","0.56618 s","318kb","39","551","","396","","","https://docs.createwithplay.com/en/articles/design-mode","7","15kb","1","97","0","0"
"View Prototype - Createwithplay","https://docs.createwithplay.com/en/articles/view-prototype","Experience your prototype on iOS, iPad, or a macOS Simulator.","View Prototype","Overview, Experience Prototypes","Connect to macOS, Play from the iOS Lobby, Play from the iOS Editor, Refresh Interactions on iOS, Exit Play Mode on iOS, Connect to macOS, Play from the iPad Lobby, Refresh Interactions on iPad, Exit Play Mode on iPad, Opening the Simulator, Customizing the Simulator, Recording the Simulator, Considerations for the Simulator","Changing the Simulator’s Device Size, Refresh Interactions on the Simulator, Change the Simulator’s UI Appearance, Adding or Removing Bezel, Opening Multiple Simulator Windows, Change the Prototype Displayed by the Simulator, Coming Soon: Prototype Sharing with the Simulator","31","61","0.52647 s","366kb","26","1540","","27","","","https://docs.createwithplay.com/en/articles/view-prototype","7","15kb","1","84","0","0"
"Organize Projects - Createwithplay","https://docs.createwithplay.com/en/articles/organize-projects","Add tags to create easily accessible sub folders on your team.","Organize Projects","Overview, Tags, Search Projects, View Recent Projects","Create a Tag, Tag Projects, Manage Tags","","34","62","0.53266 s","342kb","28","450","","24","","","https://docs.createwithplay.com/en/articles/organize-projects","7","15kb","1","87","0","0"
"Export Prototypes - Createwithplay","https://docs.createwithplay.com/en/articles/dev-handoff","Two way for designers and developers to collaborate with Play.","Export Prototypes","Overview, Play to Xcode: Complete Integration, Swift UI Code Panel: Reference and Guidance, Play to Xcode for Startups, Enterprise Solutions, Individual Developers, Code Panel Documentation, Exporting to Xcode Guide","Benefits, Key Features","","34","62","0.79835 s","341kb","24","751","","354","","","https://docs.createwithplay.com/en/articles/dev-handoff","7","15kb","1","83","0","0"
"Projects and Drafts - Createwithplay","https://docs.createwithplay.com/en/articles/projects-and-drafts","","Projects and Drafts","Overview","Drafts, Moving a Project or Draft","","36","0","0.82940 s","314kb","28","340","","26","","","https://docs.createwithplay.com/en/articles/projects-and-drafts","7","15kb","1","87","0","0"
"Import Figma Styles - Createwithplay","https://docs.createwithplay.com/en/articles/import-figma-design-system","","Import Figma Styles","Overview, Figma Plugin, Upload to Play","","","36","0","0.79432 s","314kb","26","316","","24","","","https://docs.createwithplay.com/en/articles/import-figma-design-system","7","15kb","1","85","0","0"
"Import Figma - Createwithplay","https://docs.createwithplay.com/en/articles/import-figma","","Import Figma","Overview, Authorizing Figma within Play, Importing Designs from Figma, Considerations, Questions or Comments","The Golden Rules, Importing Assets from Figma, Importing Text from Figma, Importing UI from Figma, General Best Practices, Troubleshooting, Coming soon!","","29","0","0.78943 s","345kb","29","816","","25","","","https://docs.createwithplay.com/en/articles/import-figma","7","15kb","1","88","0","0"
"Keyboard Shortcuts - Createwithplay","https://docs.createwithplay.com/en/articles/keyboard-shortcuts","Keyboard shortcuts can increase your efficiency while designing. Our keyboard shortcuts are available on Play for macOS.","Keyboard Shortcuts","Lobby Shortcuts, Editor Shortcuts","Page, Tab, and Window Shortcuts, Mode Shortcuts, UI Shortcuts, Tab Shortcuts, Copy Shortcuts, Grouping Shortcuts, Zoom Shortcuts, Add Panel Shortcuts, Left Panel Shortcuts, Data Editing Shortcuts, Order Shortcuts, Layers Panel Shortcuts, Selection Shortcuts, Interaction UX Shortcuts","","35","120","0.83880 s","358kb","26","743","","24","","","https://docs.createwithplay.com/en/articles/keyboard-shortcuts","7","15kb","1","84","0","0"
"Share Design File - Createwithplay","https://docs.createwithplay.com/en/articles/share-design-file","Share a design file privately or publicly.","Share Design File","Overview, Generate an Editor Link","Editor Links for Drafts, From the Lobby, From the Editor","","34","42","0.42676 s","319kb","26","443","","26","","","https://docs.createwithplay.com/en/articles/share-design-file","7","15kb","1","85","0","0"
