"Title","URL","Description","h1 headings","h2 headings","h3 headings","h4 headings","Title length","Description length","Response time","Content","Link count","Word count","Possible duplicates","Internal backlinks","Last modified","Robots","Canonical","Image count","Image weight","Depth","Internal links","External links","Redirects to here"
"Timer - Createwithplay","https://docs.createwithplay.com/en/articles/timer","A helper that fires every X seconds.","Timer","Overview, Timer Properties","Interval, Repetitions, Fires Immediately","","22","36","0.59186 s","311kb","28","237","","13","","","https://docs.createwithplay.com/en/articles/timer","7","15kb","1","59","0","0"
"Updating Play for iOS  - Createwithplay","https://docs.createwithplay.com/en/articles/updating-i-os","","Updating Play for iOS","","","","39","0","1.27607 s","304kb","25","166","","23","","","https://docs.createwithplay.com/en/articles/updating-i-os","7","15kb","1","47","0","0"
"SwiftUI Code & Play to Xcode - Createwithplay","https://docs.createwithplay.com/en/collections/swiftui-code-play-to-xcode","","SwiftUI Code & Play to Xcode","The Code Panel, The Difference Between Play to Xcode and Play's Code Panel, Exporting your Play Project to Xcode, Implementing your Play Project in Xcode, Updating your Swift Package from Play","","","45","0","0.78601 s","304kb","29","147","","3","","","https://docs.createwithplay.com/en/collections/swiftui-code-play-to-xcode","7","15kb","1","87","0","0"
"Abs - Createwithplay","https://docs.createwithplay.com/en/articles/abs-absolute-value","An expression editor function that returns the absolute value of a number.","Abs","Overview, Parameters, Example","","","20","74","0.49258 s","341kb","51","216","","30","","","https://docs.createwithplay.com/en/articles/abs-absolute-value","7","15kb","2","109","0","0"
"As Boolean - Createwithplay","https://docs.createwithplay.com/en/articles/as-boolean","An expression editor function that converts an object to a boolean type.","As Boolean","Overview, Parameters, Example","","","27","72","0.76478 s","333kb","35","205","","14","","","https://docs.createwithplay.com/en/articles/as-boolean","7","15kb","2","58","0","0"
"As Element - Createwithplay","https://docs.createwithplay.com/en/articles/as-element","An expression editor function that casts an object as a generic element.","As Element","Overview, Parameters","","","27","72","0.83435 s","321kb","35","181","","14","","","https://docs.createwithplay.com/en/articles/as-element","7","15kb","2","71","0","0"
"Arctangent (atan2) - Createwithplay","https://docs.createwithplay.com/en/articles/arctangent-atan2","An expression editor function that calculates the arctangent of y/x coordinates.","Arctangent (atan2)","Overview, Parameters, Example","","","35","80","0.92562 s","338kb","51","209","","30","","","https://docs.createwithplay.com/en/articles/arctangent-atan2","7","15kb","2","89","0","0"
"As Component - Createwithplay","https://docs.createwithplay.com/en/articles/as-component","An expression editor function that casts an instance as a component.","As Component","Overview, Parameters","","","29","68","0.73069 s","321kb","35","193","","14","","","https://docs.createwithplay.com/en/articles/as-component","7","15kb","2","70","0","0"
"As Image - Createwithplay","https://docs.createwithplay.com/en/articles/as-image","An expression editor function that casts an object as an image element.","As Image","Overview, Parameters","","","25","71","0.65966 s","324kb","35","190","","14","","","https://docs.createwithplay.com/en/articles/as-image","7","15kb","2","93","0","0"
"As String - Createwithplay","https://docs.createwithplay.com/en/articles/as-string","An expression editor function that converts an object to a string type.","As String","Overview, Parameters, Example","","","26","71","0.67526 s","331kb","35","197","","14","","","https://docs.createwithplay.com/en/articles/as-string","7","15kb","2","89","0","0"
