entry_id,datetime_utc,channel,persona,from,to,priority,source_file
0001,2026-02-16T00:00:00+00:00,inbox,B2,,,,ops/virtual-office/inbox/B2_20260216_commander-evolution-strategy.md
0002,2026-02-16T00:00:00+00:00,inbox,B2,,,,ops/virtual-office/inbox/B2_20260216_memory_dump_v1.md
0003,2026-02-16T00:00:00+00:00,inbox,B2,,,,ops/virtual-office/inbox/B2_20260216_self-reflection.md
0004,2026-02-16T00:00:00+00:00,inbox,COWORK,,,,ops/virtual-office/inbox/COWORK_20260216_agent-online.md
0005,2026-02-16T00:00:00+00:00,inbox,COWORK,,,,ops/virtual-office/inbox/COWORK_20260216_hello-office.md
0006,2026-02-16T00:00:00+00:00,inbox,COWORK,,,,ops/virtual-office/inbox/COWORK_20260216_session-memory.md
0007,2026-02-16T00:00:00+00:00,inbox,HUMAN,,,,ops/virtual-office/inbox/HUMAN_20260216_all_directives.md
0008,2026-02-16T00:00:00+00:00,inbox,TRIBUNAL,,,,ops/virtual-office/inbox/TRIBUNAL_20260216_commercial-strategy.md
0009,2026-02-16T18:20:01.174133+00:00,outbox,TO,,,,ops/virtual-office/outbox/TO_B2_P1_dump-self-reflection.md
0010,2026-02-16T18:20:01.263957+00:00,outbox,TO,,,,ops/virtual-office/outbox/TO_GPT_P2_context-tax-collector.md
0011,2026-02-16T18:47:43.727446+00:00,inbox,GENESIS,,,,ops/virtual-office/inbox/GENESIS_gems.md
0012,2026-02-16T18:48:14.388272+00:00,inbox,GENESIS,,,,ops/virtual-office/inbox/GENESIS_decisions.md
0013,2026-02-16T18:48:59.689663+00:00,inbox,GENESIS,,,,ops/virtual-office/inbox/GENESIS_topics.md
0014,2026-02-16T19:32:26.492025+00:00,inbox,GPT,,,,ops/virtual-office/inbox/GPT_P1_context-tax-collector.md
0015,2026-02-16T20:00:37.755439+00:00,outbox,TO,,,,ops/virtual-office/outbox/TO_B2_P1_cross-exchange.md
0016,2026-02-16T20:00:37.755749+00:00,outbox,TO,,,,ops/virtual-office/outbox/TO_GPT_P1_cross-exchange.md
0017,2026-02-16T20:00:37.756059+00:00,outbox,TO,,,,ops/virtual-office/outbox/TO_LEAD_P0_cowork-agent-joined.md
0018,2026-02-16T20:38:04.340890+00:00,outbox,TO,,,,ops/virtual-office/outbox/TO_LEAD_P1_argos-status-report.md
0019,2026-02-16T20:46:22.763237+00:00,outbox,TO,,,,ops/virtual-office/outbox/TO_B2_P1_rex-down-need-help.md
0020,2026-02-17T00:00:00+00:00,inbox,B2,,,,ops/virtual-office/inbox/B2_20260217_P0_urgent_for_rex.md
0021,2026-02-17T00:00:00+00:00,inbox,B2,,,,ops/virtual-office/inbox/B2_20260217_specialized_models_research.md
0022,2026-02-17T00:00:00+00:00,inbox,COWORK,,,,ops/virtual-office/inbox/COWORK_20260217_audit-report.md
0023,2026-02-17T00:00:00+00:00,inbox,COWORK,,,,ops/virtual-office/inbox/COWORK_20260217_observation-report.md
0024,2026-02-17T07:06:01.069592+00:00,outbox,TO,,,,ops/virtual-office/outbox/TO_B2_P0_protocol-fix.md
0025,2026-02-17T11:19:19+00:00,inbox,PAGER,,,,ops/virtual-office/inbox/PAGER_20260217_111919_B2_to_LEAD.md
0026,2026-02-17T11:19:27+00:00,inbox,PAGER,,,,ops/virtual-office/inbox/PAGER_20260217_111927_HUMAN_to_LEAD.md
0027,2026-02-17T11:36:17+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260217_113617_B2_to_LEAD.md
0028,2026-02-17T11:36:42+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260217_113642_B2_to_LEAD.md
0029,2026-02-17T12:00:51+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260217_120051_B2_to_LEAD.md
0030,2026-02-17T12:12:25+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260217_121225_B2_to_COWORK.md
0031,2026-02-17T13:09:53+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260217_130953_B2_to_LEAD.md
0032,2026-02-17T15:37:01+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260217_153701_attacker_to_LEAD.md
0033,2026-02-17T15:37:56+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260217_153756_attacker_to_LEAD.md
0034,2026-02-17T15:38:32+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260217_153832_attacker_to_LEAD.md
0035,2026-02-17T15:42:49+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260217_154249_attacker_to_LEAD.md
0036,2026-02-17T16:57:41.655137+00:00,outbox,TO,,,,ops/virtual-office/outbox/TO_COWORK_P0_genome-tribunal-assist.md
0037,2026-02-17T17:31:30+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260217_173130_COWORK_to_B2.md
0038,2026-02-17T18:17:25.860660+00:00,outbox,TO,,,,ops/virtual-office/outbox/TO_SONNET_P0_capsule-boot.md
0039,2026-02-17T18:17:30.738272+00:00,outbox,TO,,,,ops/virtual-office/outbox/TO_SONNET_P0_firebase-auth.md
0040,2026-02-19T00:00:00+00:00,inbox,COWORK,,,,ops/virtual-office/inbox/COWORK_20260219_genome-evidence.md
0041,2026-02-19T00:00:00+00:00,inbox,HYPERION,,,,ops/virtual-office/inbox/HYPERION_20260219_realignment.md
0042,2026-02-19T00:00:00+00:00,inbox,HYPERION,,,,ops/virtual-office/inbox/HYPERION_20260219_sync.md
0043,2026-02-19T00:00:00+00:00,inbox,ORION,,,,ops/virtual-office/inbox/ORION_20260219_GPT_Audit_Candidate_V4.md
0044,2026-02-19T00:00:00+00:00,inbox,ORION,,,,ops/virtual-office/inbox/ORION_20260219_GPT_Audit_Directive.md
0045,2026-02-19T00:00:00+00:00,inbox,ORION,,,,ops/virtual-office/inbox/ORION_20260219_init_handshake.md
0046,2026-02-19T00:00:00+00:00,outbox,GPT,,,,ops/virtual-office/outbox/GPT_CONTINUITY_PREP_20260219.md
0047,2026-02-19T14:39:19.231584+00:00,outbox,TO,,,,ops/virtual-office/outbox/TO_COWORK_P0_genome-evidence-recovery.md
0048,2026-02-19T14:45:26+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_144526_--interval.md
0049,2026-02-19T14:47:12+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_144712_--interval.md
0050,2026-02-19T14:51:44+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_145144_--interval.md
0051,2026-02-19T14:52:43+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_145243_--interval.md
0052,2026-02-19T14:58:03+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_145803_--interval.md
0053,2026-02-19T15:00:25+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_150025_--interval.md
0054,2026-02-19T15:02:17+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_150217_--interval.md
0055,2026-02-19T15:02:36+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_150236_--interval.md
0056,2026-02-19T15:04:16+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_150416_gpt.md
0057,2026-02-19T15:25:19+00:00,inbox,GPT,,gpt,P1,ops/virtual-office/inbox/GPT_20260219T152519Z_ExplainCodebase.md
0058,2026-02-19T17:24:53+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_172453_ORION_to_GPT.md
0059,2026-02-19T17:50:55+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_175055_ORION_to_LEAD.md
0060,2026-02-19T18:17:57+00:00,inbox,GPT,,gpt,P1,ops/virtual-office/inbox/GPT_20260219T181757Z_GENOMICS2.md
0061,2026-02-19T18:27:44+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_182744_gpt.md
0062,2026-02-19T18:29:02+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_182902_gpt.md
0063,2026-02-19T18:29:25+00:00,inbox,GPT,,gpt,P1,ops/virtual-office/inbox/GPT_20260219T182925Z_GENOMICS2.md
0064,2026-02-19T18:29:26+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_182926_gpt.md
0065,2026-02-19T18:30:47+00:00,inbox,GPT,,gpt,P1,ops/virtual-office/inbox/GPT_20260219T183047Z_GENOMICS2.md
0066,2026-02-19T18:30:48+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_183048_gpt.md
0067,2026-02-19T18:36:00+00:00,inbox,GPT,,gpt,P1,ops/virtual-office/inbox/GPT_20260219T183600Z_LOAD_RHEA.md
0068,2026-02-19T18:36:01+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_183601_gpt.md
0069,2026-02-19T19:11:22+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_191122_gpt.md
0070,2026-02-19T19:16:12+00:00,inbox,GPT,,gpt,P1,ops/virtual-office/inbox/GPT_20260219T191612Z_TASK.md
0071,2026-02-19T19:16:13+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_191613_gpt.md
0072,2026-02-19T19:16:56+00:00,inbox,GPT,,gpt,P1,ops/virtual-office/inbox/GPT_20260219T191656Z_PING.md
0073,2026-02-19T19:37:45+00:00,inbox,GPT,,gpt,P1,ops/virtual-office/inbox/GPT_20260219T193745Z_TASK.md
0074,2026-02-19T19:41:28+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_194128_COWORK_to_HYPERION.md
0075,2026-02-19T19:41:28+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_194128_COWORK_to_ORION.md
0076,2026-02-19T19:41:28+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_194128_COWORK_to_TEAMLEAD.md
0077,2026-02-19T19:41:29+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_194129_COWORK_to_gpt.md
0078,2026-02-19T19:46:10+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_194610_gpt.md
0079,2026-02-19T19:48:30+00:00,inbox,GPT,,gpt,P1,ops/virtual-office/inbox/GPT_20260219T194830Z_INGEST_RHEA.md
0080,2026-02-19T19:48:31+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_194831_gpt.md
0081,2026-02-19T20:58:08+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_205808_gpt.md
0082,2026-02-19T21:02:51+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_210251_GPT_to_COWORK.md
0083,2026-02-19T21:02:51+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_210251_GPT_to_HYPERION.md
0084,2026-02-19T21:02:51+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_210251_GPT_to_LEAD.md
0085,2026-02-19T21:02:51+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_210251_GPT_to_ORION.md
0086,2026-02-19T21:03:27+00:00,inbox,GPT,,,,ops/virtual-office/inbox/GPT_20260219T210327Z_LEARNING_GEMS_EXTRACT.md
0087,2026-02-19T21:04:11+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_210411_GPT_to_LEAD.md
0088,2026-02-19T21:09:48+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_210948_GPT_to_COWORK.md
0089,2026-02-19T21:09:48+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_210948_GPT_to_HYPERION.md
0090,2026-02-19T21:09:48+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_210948_GPT_to_LEAD.md
0091,2026-02-19T21:09:48+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_210948_GPT_to_ORION.md
0092,2026-02-19T21:09:49+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_210949_GPT_to_B2.md
0093,2026-02-19T21:09:49+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_210949_GPT_to_TEAMLEAD.md
0094,2026-02-19T21:13:15+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_211315_GPT_to_B2.md
0095,2026-02-19T21:13:30+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_211330_GPT_to_LEAD.md
0096,2026-02-19T21:13:38+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_211338_GPT_to_B2.md
0097,2026-02-19T21:18:36+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_211836_GPT_to_B2.md
0098,2026-02-19T21:29:37+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_212937_GPT_to_ORION.md
0099,2026-02-19T21:44:24+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_214424_GPT_to_ORION.md
0100,2026-02-19T21:45:17+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_214517_ORION_to_GPT.md
0101,2026-02-19T22:04:33+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_220433_ORION_to_B2.md
0102,2026-02-19T22:04:34+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_220434_ORION_to_LEAD.md
0103,2026-02-19T22:06:20+00:00,inbox,REX,,Rex,P0,ops/virtual-office/inbox/REX_20260219T220620Z_PHASE1.md
0104,2026-02-19T22:07:53.159573+00:00,outbox,REX,,,,ops/virtual-office/outbox/REX_STATUS.md
0105,2026-02-19T22:17:42+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_221742_ORION_to_GPT.md
0106,2026-02-19T22:20:28+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_222028_ORION_to_LEAD.md
0107,2026-02-19T22:23:55+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_222355_REX_to_GPT.md
0108,2026-02-19T22:24:02+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_222402_GPT_to_REX.md
0109,2026-02-19T22:24:29+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260219_222429_REX.md
0110,2026-02-19T22:24:37+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_222437_GPT_to_REX.md
0111,2026-02-19T22:26:05+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_222605_GPT_to_LEAD.md
0112,2026-02-19T23:12:11.568925+00:00,outbox,TO,,,,ops/virtual-office/outbox/TO_ORION_P1_email-memory-layer.md
0113,2026-02-19T23:17:11+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_231711_GPT_to_LEAD.md
0114,2026-02-19T23:17:11+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_231711_GPT_to_REX.md
0115,2026-02-19T23:21:06.697746+00:00,outbox,GPT,,,,ops/virtual-office/outbox/GPT_RCW_V1_COGNITIVE_WORKAROUND.md
0116,2026-02-19T23:24:17+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_232417_ORION_to_GPT.md
0117,2026-02-19T23:25:49+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_232549_ORION_to_LEAD.md
0118,2026-02-19T23:25:51+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_232551_ORION_to_GPT.md
0119,2026-02-19T23:26:41+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_232641_ORION_to_LEAD.md
0120,2026-02-19T23:26:43+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_232643_ORION_to_B2.md
0121,2026-02-19T23:26:45+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_232645_ORION_to_GPT.md
0122,2026-02-19T23:26:46+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260219_232646_ORION_to_COWORK.md
0123,2026-02-20T00:00:00+00:00,inbox,ORION,,,,ops/virtual-office/inbox/ORION_20260220_predecessor_audit.md
0124,2026-02-20T00:00:00+00:00,outbox,REX,,,,ops/virtual-office/outbox/REX_FULL_PROJECT_AUDIT_20260220.md
0125,2026-02-20T00:00:00+00:00,outbox,REX,,,,ops/virtual-office/outbox/REX_HANDOFF_20260220.md
0126,2026-02-20T01:03:21+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_20260220_010321_GPT_to_ORION.md
0127,2026-02-20T01:09:07+00:00,inbox,RELAY,,,,ops/virtual-office/inbox/RELAY_WAKE_20260220_010907_REX.md
