locus_tag,name,product,gene_type,contig,start,end,strand,protein_length,categories
ACWYRP_RS00045,dihydrolipoyl dehydrogenase family protein,,protein-coding,NZ_JBSROM010000001.1,11539,12870,minus,443,NAD-related
ACWYRP_RS00120,aldo/keto reductase,,protein-coding,NZ_JBSROM010000001.1,26659,27492,plus,277,NAD-related
ACWYRP_RS00145,homoserine dehydrogenase,,protein-coding,NZ_JBSROM010000001.1,32338,33615,plus,425,NAD-related
ACWYRP_RS00290,dihydrofolate reductase,,protein-coding,NZ_JBSROM010000001.1,60226,60723,minus,165,NAD-related
ACWYRP_RS00375,dihydrolipoyl dehydrogenase,,protein-coding,NZ_JBSROM010000001.1,78084,79493,minus,469,NAD-related
ACWYRP_RS00385,alpha-ketoacid dehydrogenase subunit beta,,protein-coding,NZ_JBSROM010000001.1,80778,81758,minus,326,NAD-related
ACWYRP_RS00390,thiamine pyrophosphate-dependent dehydrogenase E1 component subunit alpha,,protein-coding,NZ_JBSROM010000001.1,81760,82896,minus,378,NAD-related
ACWYRP_RS00570,aldo/keto reductase,,protein-coding,NZ_JBSROM010000001.1,123475,124467,minus,330,NAD-related
ACWYRP_RS00670,NAD kinase,,protein-coding,NZ_JBSROM010000001.1,149947,150741,minus,264,NAD-related
ACWYRP_RS00710,4-hydroxy-tetrahydrodipicolinate reductase,,protein-coding,NZ_JBSROM010000001.1,155745,156467,minus,240,NAD-related
ACWYRP_RS00850,IMP dehydrogenase,,protein-coding,NZ_JBSROM010000001.1,186555,187541,minus,328,NAD-related
ACWYRP_RS00855,IMP dehydrogenase,,protein-coding,NZ_JBSROM010000001.1,187584,188726,minus,380,NAD-related
ACWYRP_RS01015,DnaD domain-containing protein,,protein-coding,NZ_JBSROM010000002.1,25239,25874,plus,211,NAD-related
ACWYRP_RS01510,NADPH-dependent FMN reductase,,protein-coding,NZ_JBSROM010000003.1,2644,3186,plus,180,NAD-related
ACWYRP_RS01695,oxidoreductase,,protein-coding,NZ_JBSROM010000003.1,47138,47959,plus,273,FAD-oxidoreductase; NAD-related
ACWYRP_RS01710,"2,3-butanediol dehydrogenase",,protein-coding,NZ_JBSROM010000003.1,50116,51165,plus,349,NAD-related
ACWYRP_RS01760,glucose 1-dehydrogenase,,protein-coding,NZ_JBSROM010000003.1,58884,59654,plus,256,NAD-related
ACWYRP_RS01770,NADP-dependent phosphogluconate dehydrogenase,,protein-coding,NZ_JBSROM010000003.1,61073,62500,plus,475,NAD-related
ACWYRP_RS01825,acyl-CoA reductase,,protein-coding,NZ_JBSROM010000003.1,73689,75155,plus,488,NAD-related
ACWYRP_RS01830,SDR family oxidoreductase,,protein-coding,NZ_JBSROM010000003.1,75168,75935,plus,255,FAD-oxidoreductase; NAD-related
ACWYRP_RS01870,NADPH-dependent F420 reductase,,protein-coding,NZ_JBSROM010000003.1,81231,81797,plus,188,NAD-related
ACWYRP_RS01885,dihydrolipoyl dehydrogenase family protein,,protein-coding,NZ_JBSROM010000003.1,82894,84234,plus,446,NAD-related
ACWYRP_RS01890,NADP-dependent oxidoreductase,,protein-coding,NZ_JBSROM010000003.1,84251,85189,plus,312,FAD-oxidoreductase; NAD-related
ACWYRP_RS01990,NAD(P)H-hydrate dehydratase,,protein-coding,NZ_JBSROM010000004.1,10553,11374,minus,273,NAD-related
ACWYRP_RS02060,peptide-methionine (R)-S-oxide reductase MsrB,,protein-coding,NZ_JBSROM010000004.1,28597,29040,plus,147,NAD-related
ACWYRP_RS02270,2-dehydropantoate 2-reductase,,protein-coding,NZ_JBSROM010000004.1,74223,75176,plus,317,NAD-related
ACWYRP_RS02275,peptide-methionine (S)-S-oxide reductase MsrA,,protein-coding,NZ_JBSROM010000004.1,75237,75752,plus,171,NAD-related
ACWYRP_RS02685,aldo/keto reductase,,protein-coding,NZ_JBSROM010000005.1,58156,59163,minus,335,NAD-related
ACWYRP_RS02700,NAD(P)-dependent oxidoreductase,,protein-coding,NZ_JBSROM010000005.1,63905,64849,minus,314,FAD-oxidoreductase; NAD-related
ACWYRP_RS02880,FAD-binding oxidoreductase,,protein-coding,NZ_JBSROM010000006.1,15808,17178,minus,456,FAD-oxidoreductase; NAD-related
ACWYRP_RS02895,acetoin reductase,,protein-coding,NZ_JBSROM010000006.1,19468,20229,minus,253,NAD-related
ACWYRP_RS02970,prephenate dehydrogenase,,protein-coding,NZ_JBSROM010000006.1,33072,33923,minus,283,NAD-related
ACWYRP_RS02995,shikimate dehydrogenase,,protein-coding,NZ_JBSROM010000006.1,38509,39333,minus,274,NAD-related
ACWYRP_RS03100,zinc-binding alcohol dehydrogenase family protein,,protein-coding,NZ_JBSROM010000006.1,59238,60308,minus,356,NAD-related
ACWYRP_RS03115,Gfo/Idh/MocA family oxidoreductase,,protein-coding,NZ_JBSROM010000006.1,63062,64114,minus,350,FAD-oxidoreductase; NAD-related
ACWYRP_RS03165,beta-ketoacyl-ACP reductase,,protein-coding,NZ_JBSROM010000007.1,349,1080,minus,243,NAD-related
ACWYRP_RS03205,type I glyceraldehyde-3-phosphate dehydrogenase,,protein-coding,NZ_JBSROM010000007.1,6439,7458,minus,339,NAD-related
ACWYRP_RS03250,NAD(P)/FAD-dependent oxidoreductase,,protein-coding,NZ_JBSROM010000007.1,14634,15644,minus,336,FAD-oxidoreductase; NAD-related
ACWYRP_RS03260,glutamate-5-semialdehyde dehydrogenase,,protein-coding,NZ_JBSROM010000007.1,16819,18060,minus,413,NAD-related
ACWYRP_RS03305,ferrous iron transport protein B,,protein-coding,NZ_JBSROM010000007.1,26910,29024,minus,704,Iron/ferr
ACWYRP_RS03310,ferrous iron transport protein A,,protein-coding,NZ_JBSROM010000007.1,29028,29501,minus,157,Iron/ferr
ACWYRP_RS03455,ketopantoate reductase family protein,,protein-coding,NZ_JBSROM010000007.1,48938,49933,plus,331,NAD-related
ACWYRP_RS03465,class 1b ribonucleoside-diphosphate reductase subunit beta,,protein-coding,NZ_JBSROM010000007.1,50746,51723,minus,325,NAD-related
ACWYRP_RS03470,class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI,,protein-coding,NZ_JBSROM010000007.1,51726,52166,minus,146,NAD-related
ACWYRP_RS03475,class 1b ribonucleoside-diphosphate reductase subunit alpha,,protein-coding,NZ_JBSROM010000007.1,52203,54374,minus,723,NAD-related
ACWYRP_RS03625,"hydroxymethylglutaryl-CoA reductase, degradative",,protein-coding,NZ_JBSROM010000008.1,17454,18659,plus,401,NAD-related
ACWYRP_RS03635,NAD-dependent protein deacylase,,protein-coding,NZ_JBSROM010000008.1,19635,20339,plus,234,NAD-related
ACWYRP_RS03815,NAD(P)-dependent oxidoreductase,,protein-coding,NZ_JBSROM010000008.1,51248,52219,plus,323,FAD-oxidoreductase; NAD-related
ACWYRP_RS03950,NAD-dependent succinate-semialdehyde dehydrogenase,,protein-coding,NZ_JBSROM010000009.1,12469,13875,minus,468,NAD-related
ACWYRP_RS04015,NAD(P)-binding oxidoreductase,,protein-coding,NZ_JBSROM010000009.1,24626,25243,plus,205,FAD-oxidoreductase; NAD-related
ACWYRP_RS04080,"bifunctional 5,10-methylenetetrahydrofolate dehydrogenase/5,10-methenyltetrahydrofolate cyclohydrolase",,protein-coding,NZ_JBSROM010000009.1,37227,38072,minus,281,NAD-related
ACWYRP_RS04155,phosphoglycerate dehydrogenase,,protein-coding,NZ_JBSROM010000009.1,54638,55567,minus,309,NAD-related
ACWYRP_RS04190,lactate/malate family dehydrogenase,,protein-coding,NZ_JBSROM010000010.1,145,1059,minus,304,NAD-related
ACWYRP_RS04215,SDR family NAD(P)-dependent oxidoreductase,,protein-coding,NZ_JBSROM010000010.1,4935,5672,plus,245,FAD-oxidoreductase; NAD-related
ACWYRP_RS04245,FAD-dependent oxidoreductase,,protein-coding,NZ_JBSROM010000010.1,9815,11185,plus,456,FAD-oxidoreductase; NAD-related
ACWYRP_RS04265,acetoin reductase,,protein-coding,NZ_JBSROM010000010.1,14469,15245,plus,258,NAD-related
ACWYRP_RS04330,uroporphyrinogen decarboxylase family protein,,protein-coding,NZ_JBSROM010000010.1,27756,28787,plus,343,Heme/Porphyrin
ACWYRP_RS04335,uroporphyrinogen decarboxylase family protein,,protein-coding,NZ_JBSROM010000010.1,28780,29781,plus,333,Heme/Porphyrin
ACWYRP_RS04385,(S)-acetoin forming diacetyl reductase,,protein-coding,NZ_JBSROM010000010.1,37700,38476,plus,258,NAD-related
ACWYRP_RS04390,bifunctional acetaldehyde-CoA/alcohol dehydrogenase,,protein-coding,NZ_JBSROM010000010.1,38703,41405,plus,900,NAD-related
ACWYRP_RS04580,DnaD domain protein,,protein-coding,NZ_JBSROM010000011.1,24379,25668,plus,429,NAD-related
ACWYRP_RS04685,"phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)",,protein-coding,NZ_JBSROM010000011.1,45076,45984,plus,302,NAD-related
ACWYRP_RS04750,D-2-hydroxyacid dehydrogenase,,protein-coding,NZ_JBSROM010000012.1,10410,11399,plus,329,NAD-related
ACWYRP_RS04810,3-isopropylmalate dehydrogenase,,protein-coding,NZ_JBSROM010000012.1,22739,23812,plus,357,NAD-related
ACWYRP_RS04865,"bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE",,protein-coding,NZ_JBSROM010000012.1,33687,34397,plus,236,Quinone
ACWYRP_RS04885,glucose-6-phosphate dehydrogenase,,protein-coding,NZ_JBSROM010000012.1,36862,38322,minus,486,NAD-related
ACWYRP_RS04900,aldo/keto reductase,,protein-coding,NZ_JBSROM010000012.1,41026,42003,plus,325,NAD-related
