============================================================================================================================================================================================================================
FOCUSED DEFENSE GENE EXTRACTION - CATEGORIES YOU REQUESTED
============================================================================================================================================================================================================================

HYPOTHETICAL PROTEINS: 212
DUF-DOMAIN PROTEINS: 59
GENERIC METHYLTRANSFERASES: 17
GENERIC NUCLEASES/ENDONUCLEASES: 36
HELIX-TURN-HELIX PROTEINS (non-transcriptional): 0
CLUSTERED DEFENSE ISLANDS: 110 genes

============================================================================================================================================================================================================================


SECTION 1: HYPOTHETICAL PROTEINS
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LOCUS_TAG          | PGAP_PRODUCT_NAME                                       | LENGTH  | CONTIG:COORD             | HYPOTHESIS                          | CONF  | SCORE
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ACWYRP_RS00035     | hypothetical protein                                    | 1701aa  | c000001.1:7894-9594      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS00040     | hypothetical protein                                    | 1674aa  | c000001.1:9789-11462     | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS00330     | hypothetical protein                                    | 501aa   | c000001.1:68783-69283    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS00350     | hypothetical protein                                    | 171aa   | c000001.1:73250-73420    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS00540     | hypothetical protein                                    | 294aa   | c000001.1:118177-118470  | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS00655     | hypothetical protein                                    | 498aa   | c000001.1:146974-147471  | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS00740     | hypothetical protein                                    | 546aa   | c000001.1:161850-162395  | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS00820     | hypothetical protein                                    | 171aa   | c000001.1:180080-180250  | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS00835     | hypothetical protein                                    | 1290aa  | c000001.1:182186-183475  | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS00890     | hypothetical protein                                    | 915aa   | c000001.1:194430-195344  | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01000     | hypothetical protein                                    | 528aa   | c000002.1:22090-22617    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01020     | hypothetical protein                                    | 282aa   | c000002.1:25875-26156    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01215     | hypothetical protein                                    | 213aa   | c000002.1:64729-64941    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01230     | hypothetical protein                                    | 639aa   | c000002.1:67477-68115    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01245     | hypothetical protein                                    | 519aa   | c000002.1:70088-70606    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01260     | hypothetical protein                                    | 252aa   | c000002.1:72124-72375    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01265     | hypothetical protein                                    | 618aa   | c000002.1:72449-73066    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01270     | hypothetical protein                                    | 303aa   | c000002.1:73259-73561    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01285     | hypothetical protein                                    | 225aa   | c000002.1:74627-74851    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01290     | hypothetical protein                                    | 195aa   | c000002.1:74866-75060    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01300     | hypothetical protein                                    | 195aa   | c000002.1:75874-76068    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01310     | hypothetical protein                                    | 168aa   | c000002.1:76521-76688    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01315     | hypothetical protein                                    | 432aa   | c000002.1:76685-77116    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01320     | hypothetical protein                                    | 225aa   | c000002.1:77118-77342    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01330     | hypothetical protein                                    | 402aa   | c000002.1:77617-78018    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01355     | hypothetical protein                                    | 177aa   | c000002.1:80704-80880    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01365     | hypothetical protein                                    | 177aa   | c000002.1:81698-81874    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01375     | hypothetical protein                                    | 444aa   | c000002.1:82303-82746    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01380     | hypothetical protein                                    | 270aa   | c000002.1:82743-83012    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01385     | hypothetical protein                                    | 186aa   | c000002.1:83009-83194    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01395     | hypothetical protein                                    | 171aa   | c000002.1:84043-84213    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01400     | hypothetical protein                                    | 978aa   | c000002.1:84200-85177    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01405     | hypothetical protein                                    | 165aa   | c000002.1:85498-85662    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01415     | hypothetical protein                                    | 204aa   | c000002.1:86904-87107    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01420     | hypothetical protein                                    | 330aa   | c000002.1:87322-87651    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01470     | hypothetical protein                                    | 468aa   | c000002.1:94839-95306    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01490     | hypothetical protein                                    | 144aa   | c000002.1:96842-96985    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01575     | hypothetical protein                                    | 255aa   | c000003.1:19340-19594    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01655     | hypothetical protein                                    | 240aa   | c000003.1:38654-38893    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01715     | hypothetical protein                                    | 762aa   | c000003.1:51324-52085    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01925     | hypothetical protein                                    | 1347aa  | c000003.1:90407-91753    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS01940     | hypothetical protein                                    | 411aa   | c000003.1:93768-94178    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02225     | hypothetical protein                                    | 201aa   | c000004.1:61562-61762    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02235     | hypothetical protein                                    | 1782aa  | c000004.1:62421-64202    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02305     | hypothetical protein                                    | 321aa   | c000004.1:80999-81319    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02345     | hypothetical protein                                    | 333aa   | c000005.1:7033-7365      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02370     | hypothetical protein                                    | 312aa   | c000005.1:9209-9520      | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02410     | hypothetical protein                                    | 630aa   | c000005.1:16029-16658    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02415     | hypothetical protein                                    | 510aa   | c000005.1:16763-17272    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02425     | hypothetical protein                                    | 171aa   | c000005.1:18590-18760    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02440     | hypothetical protein                                    | 195aa   | c000005.1:20685-20879    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02445     | hypothetical protein                                    | 558aa   | c000005.1:20879-21436    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02450     | hypothetical protein                                    | 303aa   | c000005.1:21436-21738    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02460     | hypothetical protein                                    | 282aa   | c000005.1:22649-22930    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02465     | hypothetical protein                                    | 159aa   | c000005.1:22936-23094    | Hypothetical (Context TBD)          | L     | 1    
ACWYRP_RS02500     | hypothetical protein                                    | 402aa   | c000005.1:27655-28056    | Hypothetical (Context TBD)          | L     | 1    
